,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
58560,277761373,Wing_dedede,0,1,1,2,0,0,1,2,1,7
58561,284325975,Wing_dedede,0,2,1,0,0,0,2,2,1,6
58562,286259521,Wing_dedede,1,3,1,3,0,2,2,2,1,11
58563,286890613,Wing_dedede,1,4,2,3,3,3,3,2,3,19
58564,301763322,Wing_dedede,1,5,3,3,3,3,3,2,2,19
58565,301943917,Wing_dedede,0,6,3,0,0,0,2,1,1,7
58566,301953567,Wing_dedede,1,7,2,1,3,2,3,2,2,15
58567,302049982,Wing_dedede,1,8,1,3,3,3,3,2,2,17
58568,302058401,Wing_dedede,1,9,1,3,3,3,2,2,2,16
58569,304556971,Wing_dedede,1,10,1,1,3,3,2,2,3,15
58570,312406576,Wing_dedede,1,11,2,3,3,2,2,2,2,16
58571,312425756,Wing_dedede,1,12,3,3,3,3,3,2,2,19
58572,312775219,Wing_dedede,1,13,3,2,3,3,3,2,2,18
58573,313836723,Wing_dedede,1,14,3,3,3,3,3,2,2,19
58574,314052399,Wing_dedede,1,15,3,3,3,2,3,2,2,18
58575,314088641,Wing_dedede,1,16,1,3,3,3,3,2,2,17
58576,320499993,Wing_dedede,1,17,1,3,3,3,3,2,2,17
58577,320501382,Wing_dedede,1,18,3,3,3,3,3,2,2,19
58578,328887367,Wing_dedede,0,19,0,0,3,0,2,2,2,9
58579,328889110,Wing_dedede,1,20,0,0,3,0,2,2,2,9
