,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
59420,279496410,XxX_Ankhaa_XxX,0,1,0,0,0,0,2,1,1,4
59421,279810022,XxX_Ankhaa_XxX,0,2,0,0,0,1,1,1,1,4
59422,279816881,XxX_Ankhaa_XxX,0,3,1,1,0,1,1,1,1,6
59423,279821644,XxX_Ankhaa_XxX,0,4,1,1,0,1,2,1,1,7
59424,280145245,XxX_Ankhaa_XxX,0,5,0,0,0,1,1,1,1,4
59425,281417283,XxX_Ankhaa_XxX,0,6,0,0,0,1,2,1,1,5
59426,281424956,XxX_Ankhaa_XxX,0,7,1,3,0,3,2,1,1,11
59427,281714742,XxX_Ankhaa_XxX,0,8,1,0,1,0,2,2,0,6
59428,281718132,XxX_Ankhaa_XxX,0,9,1,1,0,1,3,1,1,8
59429,281730592,XxX_Ankhaa_XxX,0,10,1,1,0,1,2,1,1,7
59430,282093868,XxX_Ankhaa_XxX,0,11,1,3,3,3,3,2,3,18
59431,282766229,XxX_Ankhaa_XxX,0,12,1,3,0,3,2,1,1,11
59432,284429010,XxX_Ankhaa_XxX,1,13,1,3,0,3,2,1,1,11
59433,284445053,XxX_Ankhaa_XxX,1,14,1,3,1,3,3,1,1,13
59434,284921224,XxX_Ankhaa_XxX,0,15,1,1,1,0,3,2,2,10
59435,284934724,XxX_Ankhaa_XxX,0,16,1,2,0,2,2,2,2,11
59436,284942424,XxX_Ankhaa_XxX,0,17,1,1,3,2,2,2,2,13
59437,285515145,XxX_Ankhaa_XxX,0,18,1,3,0,2,1,2,2,11
59438,286131230,XxX_Ankhaa_XxX,0,19,3,1,3,2,3,2,3,17
59439,286328404,XxX_Ankhaa_XxX,0,20,1,1,3,2,2,1,2,12
