,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
59700,277794684,Yinyin_Wang,0,1,1,0,1,0,2,2,2,8
59701,278379823,Yinyin_Wang,0,2,1,1,1,2,3,2,2,12
59702,293120693,Yinyin_Wang,0,3,3,1,1,1,2,3,1,12
59703,293126231,Yinyin_Wang,0,4,1,1,1,2,2,3,2,12
59704,293286219,Yinyin_Wang,0,5,1,1,3,2,2,2,2,13
59705,293723647,Yinyin_Wang,0,6,3,3,1,2,2,2,2,15
59706,293821255,Yinyin_Wang,0,7,3,1,1,2,2,2,2,13
59707,293832224,Yinyin_Wang,0,8,1,0,1,2,1,2,0,7
59708,294560766,Yinyin_Wang,0,9,1,1,1,0,2,2,2,9
59709,296645846,Yinyin_Wang,0,10,1,1,1,2,2,1,2,10
59710,296647889,Yinyin_Wang,0,11,1,0,0,0,2,2,1,6
59711,296650870,Yinyin_Wang,0,12,1,1,1,0,2,2,2,9
59712,296740135,Yinyin_Wang,0,13,1,3,0,2,2,2,1,11
59713,297487906,Yinyin_Wang,0,14,1,3,3,3,3,2,2,17
59714,298166975,Yinyin_Wang,0,15,1,0,0,3,2,1,2,9
59715,298681012,Yinyin_Wang,0,16,2,0,1,0,2,2,1,8
59716,298733652,Yinyin_Wang,0,17,0,0,1,2,2,1,1,7
59717,299027236,Yinyin_Wang,0,18,1,1,1,3,2,1,2,11
59718,299033747,Yinyin_Wang,0,19,1,0,1,0,2,2,1,7
59719,316369322,Yinyin_Wang,0,20,1,3,1,2,2,2,2,13
