,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
60060,277734386,Zakk_Frost,0,1,0,0,0,0,1,1,0,2
60061,285310473,Zakk_Frost,0,2,1,1,0,1,1,2,1,7
60062,288874028,Zakk_Frost,1,3,1,1,1,0,2,2,1,8
60063,303518161,Zakk_Frost,0,4,1,1,0,1,1,1,1,6
60064,303616917,Zakk_Frost,1,5,1,1,0,2,2,1,1,8
60065,303686326,Zakk_Frost,0,6,1,1,0,1,2,1,1,7
60066,311249454,Zakk_Frost,1,7,1,1,0,1,1,1,1,6
60067,315998369,Zakk_Frost,0,8,1,1,0,1,2,1,1,7
60068,316007571,Zakk_Frost,0,9,1,1,0,1,1,1,1,6
60069,316221242,Zakk_Frost,0,10,1,1,0,1,1,1,1,6
60070,316433806,Zakk_Frost,0,11,1,1,0,1,1,1,1,6
60071,324467900,Zakk_Frost,0,12,1,1,0,1,1,1,1,6
60072,324520292,Zakk_Frost,0,13,1,1,0,1,1,1,1,6
60073,325353923,Zakk_Frost,0,14,1,1,0,1,1,1,1,6
60074,325409943,Zakk_Frost,0,15,1,1,0,1,1,1,1,6
60075,325438047,Zakk_Frost,0,16,1,1,0,1,1,1,1,6
60076,325483771,Zakk_Frost,0,17,1,1,0,1,1,1,1,6
60077,325820629,Zakk_Frost,0,18,0,0,0,0,2,1,0,3
60078,326434541,Zakk_Frost,0,19,1,1,0,1,1,1,1,6
60079,326634077,Zakk_Frost,0,20,1,1,0,1,1,1,1,6
