,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
60080,277664439,ZappiestHis54,0,1,1,0,0,0,2,2,1,6
60081,283490539,ZappiestHis54,1,2,3,3,1,2,3,1,2,15
60082,283750541,ZappiestHis54,0,3,1,0,0,0,1,2,1,5
60083,291723673,ZappiestHis54,0,4,0,0,0,1,2,1,1,5
60084,294234986,ZappiestHis54,0,5,1,1,0,1,2,1,1,7
60085,295993948,ZappiestHis54,0,6,1,1,0,0,2,1,1,6
60086,297998716,ZappiestHis54,0,7,1,0,0,0,2,2,1,6
60087,298000636,ZappiestHis54,0,8,1,1,0,0,1,2,1,6
60088,298028517,ZappiestHis54,0,9,1,0,0,0,2,1,0,4
60089,299624498,ZappiestHis54,0,10,1,2,0,0,2,2,1,8
60090,300045418,ZappiestHis54,0,11,1,1,0,0,2,1,1,6
60091,304097186,ZappiestHis54,0,12,1,0,0,0,2,2,1,6
60092,304111476,ZappiestHis54,0,13,1,0,0,1,2,2,1,7
60093,304114487,ZappiestHis54,0,14,1,1,0,1,2,2,1,8
60094,305674705,ZappiestHis54,0,15,1,2,0,0,2,2,1,8
60095,305687292,ZappiestHis54,0,16,1,1,0,0,2,1,0,5
60096,306229399,ZappiestHis54,0,17,1,2,0,1,1,2,1,8
60097,306570888,ZappiestHis54,1,18,1,1,0,1,2,1,1,7
60098,307788904,ZappiestHis54,0,19,1,0,0,1,2,2,1,7
60099,308125702,ZappiestHis54,0,20,0,0,0,0,0,0,0,0
