,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
60160,287329607,Zero_Acron,1,1,3,3,3,3,3,2,2,19
60161,287330729,Zero_Acron,1,2,1,3,3,3,3,2,2,17
60162,287330902,Zero_Acron,1,3,3,3,3,3,3,2,3,20
60163,287331111,Zero_Acron,1,4,1,3,1,2,2,2,2,13
60164,287331210,Zero_Acron,1,5,1,1,1,0,2,2,2,9
60165,287418775,Zero_Acron,1,6,1,3,3,3,2,2,2,16
60166,287418991,Zero_Acron,1,7,2,3,3,3,2,2,2,17
60167,287419299,Zero_Acron,1,8,2,3,3,3,3,2,2,18
60168,287419438,Zero_Acron,1,9,1,1,2,2,2,1,2,11
60169,287419898,Zero_Acron,1,10,2,3,3,3,3,2,3,19
60170,287419974,Zero_Acron,1,11,0,0,1,1,2,2,1,7
60171,287420199,Zero_Acron,1,12,1,3,3,2,3,2,2,16
60172,287420278,Zero_Acron,1,13,1,3,3,3,3,2,2,17
60173,287420418,Zero_Acron,1,14,3,3,3,3,3,2,3,20
60174,287420591,Zero_Acron,1,15,3,3,3,3,3,2,3,20
60175,287420784,Zero_Acron,1,16,3,3,3,3,3,2,3,20
60176,287420948,Zero_Acron,1,17,3,3,3,3,3,2,3,20
60177,287421186,Zero_Acron,1,18,1,1,3,3,3,2,3,16
60178,287421861,Zero_Acron,1,19,3,3,3,3,3,2,3,20
60179,287422090,Zero_Acron,1,20,1,3,3,2,2,2,2,15
