,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
60440,297108194,_Jupiter,0,1,0,0,0,0,1,1,1,3
60441,297108519,_Jupiter,0,2,0,0,0,0,0,0,0,0
60442,297108649,_Jupiter,0,3,0,0,0,0,1,1,1,3
60443,297109397,_Jupiter,0,4,0,0,0,0,1,1,1,3
60444,297110978,_Jupiter,0,5,0,0,0,0,1,1,1,3
60445,297112246,_Jupiter,0,6,0,0,0,0,1,1,1,3
60446,297112538,_Jupiter,0,7,0,0,0,0,1,1,1,3
60447,297112732,_Jupiter,0,8,0,0,0,0,1,1,1,3
60448,297113390,_Jupiter,0,9,0,0,0,0,1,1,1,3
60449,297113677,_Jupiter,0,10,0,0,0,0,1,1,1,3
60450,297115991,_Jupiter,0,11,0,0,0,0,1,1,1,3
60451,297116181,_Jupiter,0,12,0,0,0,0,1,1,1,3
60452,297116426,_Jupiter,0,13,0,0,0,0,0,0,0,0
60453,297116531,_Jupiter,0,14,0,0,0,0,1,1,1,3
60454,297116851,_Jupiter,0,15,0,0,0,0,1,1,1,3
60455,297451006,_Jupiter,0,16,0,0,0,0,1,1,1,3
60456,297451320,_Jupiter,0,17,0,0,0,0,1,1,1,3
60457,297451497,_Jupiter,0,18,0,0,0,0,1,1,1,3
60458,297451721,_Jupiter,0,19,0,0,0,0,1,1,1,3
60459,297451960,_Jupiter,0,20,0,0,0,0,1,1,1,3
