,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
60600,294546603,_ScarMar_,0,1,1,1,0,0,1,1,1,5
60601,294562246,_ScarMar_,1,2,1,1,0,1,2,1,1,7
60602,294645948,_ScarMar_,1,3,0,0,0,0,0,0,0,0
60603,294646495,_ScarMar_,0,4,1,1,0,1,2,1,1,7
60604,294993007,_ScarMar_,0,5,1,0,0,0,1,2,1,5
60605,294995581,_ScarMar_,0,6,1,1,0,1,2,1,1,7
60606,295275334,_ScarMar_,0,7,1,1,0,0,1,1,1,5
60607,296063952,_ScarMar_,0,8,1,1,0,0,1,1,1,5
60608,296102854,_ScarMar_,0,9,1,1,0,1,2,2,1,8
60609,296153429,_ScarMar_,0,10,1,1,0,0,2,1,1,6
60610,296203579,_ScarMar_,0,11,0,0,0,0,0,0,0,0
60611,296420010,_ScarMar_,0,12,1,1,0,0,1,2,1,6
60612,296661139,_ScarMar_,0,13,0,0,0,0,1,1,1,3
60613,296795655,_ScarMar_,0,14,0,0,0,0,0,0,0,0
60614,297082606,_ScarMar_,0,15,1,1,0,0,2,1,1,6
60615,297360576,_ScarMar_,0,16,1,1,0,0,1,1,1,5
60616,297377505,_ScarMar_,0,17,1,1,0,0,1,1,0,4
60617,297398125,_ScarMar_,0,18,1,1,0,0,2,1,0,5
60618,297401689,_ScarMar_,0,19,1,1,0,1,2,1,1,7
60619,297477707,_ScarMar_,0,20,1,1,0,0,1,1,1,5
