,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
61800,292111246,alasandis,0,1,0,0,0,1,2,1,1,5
61801,292112752,alasandis,0,2,0,0,0,0,2,1,1,4
61802,292113702,alasandis,0,3,0,0,0,0,2,1,1,4
61803,292114598,alasandis,0,4,0,0,0,0,1,1,1,3
61804,292116394,alasandis,0,5,0,0,0,0,2,1,1,4
61805,292118462,alasandis,0,6,0,0,0,0,2,1,1,4
61806,292120086,alasandis,0,7,0,0,0,0,2,1,1,4
61807,292967731,alasandis,0,8,0,0,0,0,2,1,1,4
61808,292970103,alasandis,0,9,1,1,0,1,2,1,1,7
61809,292973517,alasandis,0,10,0,0,0,1,2,1,1,5
61810,292974147,alasandis,0,11,0,0,0,1,2,1,1,5
61811,292989048,alasandis,0,12,0,0,0,0,2,1,1,4
61812,294005107,alasandis,0,13,1,2,0,1,2,2,1,9
61813,294013075,alasandis,0,14,1,3,0,3,2,2,1,12
61814,296997975,alasandis,0,15,1,3,0,3,2,2,1,12
61815,297708417,alasandis,0,16,1,1,2,1,2,2,1,10
61816,297716018,alasandis,0,17,1,1,2,0,2,2,1,9
61817,298067054,alasandis,0,18,1,1,1,2,2,2,2,11
61818,298075705,alasandis,0,19,0,0,0,0,1,2,2,5
61819,298077660,alasandis,0,20,0,0,2,0,1,2,2,7
