,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
61920,280335800,alexAH22,0,1,0,0,0,0,1,1,1,3
61921,280338295,alexAH22,0,2,0,0,0,1,2,1,1,5
61922,280646459,alexAH22,0,3,0,0,0,1,2,1,1,5
61923,280648067,alexAH22,0,4,0,0,0,1,2,1,1,5
61924,280649903,alexAH22,0,5,0,0,0,0,1,1,1,3
61925,281085390,alexAH22,0,6,0,0,0,0,1,1,1,3
61926,281087732,alexAH22,0,7,1,1,0,3,2,1,1,9
61927,281090074,alexAH22,0,8,1,1,0,3,2,1,1,9
61928,282194496,alexAH22,0,9,1,1,0,3,2,1,1,9
61929,283512627,alexAH22,0,10,1,1,0,1,2,1,1,7
61930,284185809,alexAH22,0,11,1,1,0,1,2,1,1,7
61931,285407495,alexAH22,0,12,1,0,0,0,1,2,1,5
61932,285409743,alexAH22,0,13,0,0,0,1,2,1,1,5
61933,285412597,alexAH22,0,14,1,0,0,2,1,1,0,5
61934,285415544,alexAH22,0,15,1,0,0,3,1,1,0,6
61935,285877868,alexAH22,0,16,0,0,0,3,2,2,1,8
61936,285879292,alexAH22,0,17,1,1,0,3,2,2,1,10
61937,285881648,alexAH22,0,18,1,3,0,3,1,2,1,11
61938,287594224,alexAH22,0,19,0,0,2,0,1,2,0,5
61939,287597883,alexAH22,0,20,0,0,1,0,1,2,2,6
