,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
62640,305130068,androidapps10,0,1,1,3,1,2,2,2,1,12
62641,306384283,androidapps10,0,2,1,3,2,3,2,2,2,15
62642,312950205,androidapps10,0,3,3,2,3,3,3,2,2,18
62643,313862604,androidapps10,0,4,3,3,3,2,2,2,1,16
62644,314395298,androidapps10,0,5,1,1,1,2,2,2,2,11
62645,314759056,androidapps10,0,6,3,1,0,1,2,1,2,10
62646,315475006,androidapps10,0,7,1,3,3,2,2,2,2,15
62647,315975102,androidapps10,1,8,2,3,3,3,3,2,3,19
62648,316136858,androidapps10,1,9,3,3,1,2,2,2,2,15
62649,316830018,androidapps10,0,10,1,3,3,2,2,2,2,15
62650,318111962,androidapps10,1,11,1,2,0,0,1,2,0,6
62651,318753674,androidapps10,0,12,1,1,3,2,2,2,1,12
62652,318915799,androidapps10,0,13,3,3,3,2,2,2,2,17
62653,319465945,androidapps10,1,14,3,3,3,3,3,2,2,19
62654,320038471,androidapps10,0,15,1,1,3,0,2,2,1,10
62655,320432274,androidapps10,0,16,1,3,0,2,2,1,1,10
62656,320619205,androidapps10,0,17,3,3,3,2,2,2,2,17
62657,321134937,androidapps10,0,18,1,1,0,0,2,2,1,7
62658,321707071,androidapps10,0,19,3,3,3,2,2,2,1,16
62659,321904563,androidapps10,0,20,3,1,3,1,2,2,2,14
