,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
62840,334628853,anhngoc2204,0,1,1,1,0,1,2,1,1,7
62841,336314102,anhngoc2204,0,2,0,0,0,0,2,1,1,4
62842,336315328,anhngoc2204,0,3,1,1,0,1,2,1,1,7
62843,336317779,anhngoc2204,0,4,0,0,0,1,2,1,1,5
62844,338009627,anhngoc2204,0,5,0,0,0,0,2,1,1,4
62845,338013197,anhngoc2204,0,6,1,1,0,1,2,1,1,7
62846,338171517,anhngoc2204,0,7,0,0,0,1,2,1,1,5
62847,339891478,anhngoc2204,0,8,0,0,0,0,2,1,1,4
62848,340079238,anhngoc2204,0,9,0,0,0,0,3,1,1,5
62849,341948015,anhngoc2204,0,10,0,0,1,0,2,1,1,5
62850,344010803,anhngoc2204,0,11,1,1,1,2,2,2,1,10
62851,344018737,anhngoc2204,0,12,1,1,1,0,2,2,2,9
62852,346208107,anhngoc2204,0,13,1,1,1,2,2,1,2,10
62853,348381039,anhngoc2204,0,14,1,1,2,0,2,2,1,9
62854,350133489,anhngoc2204,0,15,1,1,1,2,2,2,2,11
62855,355973045,anhngoc2204,0,16,0,0,0,0,1,1,1,3
62856,355974421,anhngoc2204,0,17,0,0,0,0,1,1,1,3
62857,355974730,anhngoc2204,0,18,1,1,0,0,1,1,1,5
62858,355975318,anhngoc2204,0,19,0,0,0,0,1,1,1,3
62859,355975549,anhngoc2204,0,20,0,0,0,0,1,1,1,3
