,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
63360,326815498,arna0101,0,1,1,0,0,0,2,2,1,6
63361,327172575,arna0101,0,2,0,0,0,0,2,1,1,4
63362,327176606,arna0101,1,3,1,2,0,0,1,2,1,7
63363,327205450,arna0101,0,4,1,1,0,0,2,2,1,7
63364,327429496,arna0101,0,5,1,0,0,1,2,1,1,6
63365,328121482,arna0101,0,6,1,0,0,0,1,2,1,5
63366,329623941,arna0101,0,7,0,0,0,1,2,1,1,5
63367,329626965,arna0101,0,8,1,2,0,1,2,2,1,9
63368,330132246,arna0101,0,9,1,1,1,1,2,2,1,9
63369,330958447,arna0101,0,10,1,0,0,1,2,2,1,7
63370,331869925,arna0101,0,11,1,1,1,1,1,2,1,8
63371,332730625,arna0101,0,12,1,2,1,1,2,2,1,10
63372,333089847,arna0101,0,13,1,2,1,0,1,2,1,8
63373,335503306,arna0101,0,14,0,0,0,0,0,0,0,0
63374,337167052,arna0101,0,15,0,0,0,0,0,1,0,1
63375,340000231,arna0101,0,16,1,0,2,1,2,2,1,9
63376,342266166,arna0101,0,17,1,1,1,0,2,2,1,8
63377,342939879,arna0101,0,18,1,0,2,0,1,2,0,6
63378,342954939,arna0101,0,19,1,0,3,0,2,2,2,10
63379,344362988,arna0101,0,20,1,1,0,2,2,2,1,9
