,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
64120,286563345,azamjb123,0,1,1,2,0,0,1,2,0,6
64121,286867946,azamjb123,0,2,1,2,0,3,1,2,1,10
64122,287879934,azamjb123,0,3,1,1,0,1,1,2,2,8
64123,287885670,azamjb123,0,4,0,0,0,0,1,2,2,5
64124,288181504,azamjb123,0,5,0,0,0,0,1,2,2,5
64125,288184039,azamjb123,0,6,0,0,0,0,1,2,2,5
64126,288441434,azamjb123,0,7,0,0,0,0,1,2,2,5
64127,288449887,azamjb123,0,8,0,0,0,0,1,2,2,5
64128,288452777,azamjb123,0,9,0,0,0,0,1,2,2,5
64129,288615847,azamjb123,0,10,1,2,1,0,3,2,1,10
64130,288739471,azamjb123,0,11,0,0,0,0,1,2,2,5
64131,289229165,azamjb123,0,12,0,0,0,0,1,2,2,5
64132,289238305,azamjb123,0,13,0,0,0,0,1,2,2,5
64133,289553456,azamjb123,0,14,0,0,0,0,1,2,2,5
64134,289561667,azamjb123,0,15,0,0,0,0,1,2,2,5
64135,289564698,azamjb123,0,16,1,0,0,0,1,2,2,6
64136,290111074,azamjb123,0,17,0,0,3,0,1,2,2,8
64137,290113243,azamjb123,0,18,0,0,0,0,1,2,2,5
64138,290117793,azamjb123,0,19,0,0,0,0,1,2,2,5
64139,290118372,azamjb123,0,20,0,0,0,0,1,2,2,5
