,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
64160,287031744,b36016,0,1,0,0,0,0,1,1,1,3
64161,287033756,b36016,0,2,0,0,0,0,2,1,1,4
64162,287034021,b36016,0,3,0,0,0,0,1,2,1,4
64163,287035383,b36016,0,4,1,1,0,1,2,1,1,7
64164,287037900,b36016,0,5,0,0,1,0,2,3,1,7
64165,287038433,b36016,0,6,1,1,1,3,2,2,1,11
64166,287298566,b36016,0,7,1,3,0,2,1,1,1,9
64167,287300557,b36016,0,8,1,1,0,1,2,1,1,7
64168,287415463,b36016,0,9,0,0,0,0,2,3,1,6
64169,287415848,b36016,0,10,0,0,1,0,2,3,1,7
64170,287416120,b36016,0,11,0,0,0,0,2,1,1,4
64171,287416216,b36016,0,12,1,1,1,3,2,2,1,11
64172,288006790,b36016,0,13,1,1,0,0,2,1,1,6
64173,288580670,b36016,1,14,1,1,0,1,2,1,1,7
64174,288865978,b36016,0,15,1,3,0,3,2,1,1,11
64175,289400545,b36016,0,16,1,3,0,3,2,1,1,11
64176,291881743,b36016,0,17,1,3,1,3,2,2,2,14
64177,295342823,b36016,0,18,1,3,3,3,2,2,2,16
64178,296195978,b36016,0,19,1,3,3,3,3,2,2,17
64179,299396287,b36016,0,20,1,3,3,3,3,2,2,17
