,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
64720,278963432,bcr2019ehs,0,1,1,1,0,1,1,1,0,5
64721,279518738,bcr2019ehs,0,2,1,1,0,1,1,1,0,5
64722,281441344,bcr2019ehs,0,3,0,0,0,0,1,2,1,4
64723,281446172,bcr2019ehs,0,4,0,0,0,1,2,2,1,6
64724,281451587,bcr2019ehs,0,5,0,0,0,0,2,1,1,4
64725,281733744,bcr2019ehs,0,6,0,0,0,1,2,1,1,5
64726,282309685,bcr2019ehs,0,7,1,1,1,0,2,2,1,8
64727,282789405,bcr2019ehs,0,8,2,1,1,2,2,2,1,11
64728,283347861,bcr2019ehs,0,9,3,1,1,2,2,2,1,12
64729,284363592,bcr2019ehs,0,10,1,0,0,0,1,2,2,6
64730,284939302,bcr2019ehs,0,11,1,0,0,0,1,2,1,5
64731,284939862,bcr2019ehs,0,12,0,0,0,0,1,1,1,3
64732,284940632,bcr2019ehs,0,13,0,0,1,0,2,1,0,4
64733,284943615,bcr2019ehs,0,14,0,0,1,0,2,1,0,4
64734,284946690,bcr2019ehs,0,15,1,1,1,0,2,1,0,6
64735,286051361,bcr2019ehs,1,16,1,1,0,1,1,1,1,6
64736,286356599,bcr2019ehs,1,17,0,0,1,0,3,2,2,8
64737,286672987,bcr2019ehs,0,18,3,1,0,1,3,1,1,10
64738,287958533,bcr2019ehs,0,19,0,0,0,0,1,1,1,3
64739,289361490,bcr2019ehs,0,20,0,0,0,0,1,1,1,3
