,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
65800,316565794,blipper,0,1,1,3,1,2,2,2,1,12
65801,316569603,blipper,1,2,1,1,0,1,2,1,1,7
65802,316816821,blipper,0,3,1,0,0,0,1,1,2,5
65803,316997618,blipper,1,4,3,2,3,3,3,2,3,19
65804,317086877,blipper,0,5,2,3,3,2,2,2,1,15
65805,317740368,blipper,0,6,3,3,2,3,2,2,2,17
65806,318209273,blipper,0,7,1,3,3,3,3,2,2,17
65807,318251125,blipper,1,8,3,3,3,3,3,2,2,19
65808,318543664,blipper,0,9,1,2,1,2,2,2,1,11
65809,319109634,blipper,0,10,2,1,3,2,2,2,2,14
65810,319123426,blipper,0,11,1,3,0,2,2,1,1,10
65811,319350854,blipper,1,12,3,3,3,3,3,2,2,19
65812,319626407,blipper,1,13,3,3,3,3,3,2,2,19
65813,319852643,blipper,0,14,1,3,3,3,3,2,2,17
65814,320793028,blipper,0,15,1,3,0,3,2,1,1,11
65815,320802346,blipper,1,16,3,3,3,3,3,2,2,19
65816,321120939,blipper,1,17,3,3,3,3,3,2,2,19
65817,322998170,blipper,1,18,1,1,3,3,2,2,2,14
65818,322999915,blipper,0,19,3,2,3,2,2,2,1,15
65819,323008297,blipper,1,20,3,3,3,3,3,2,2,19
