,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
65860,278962583,blr2019eac,0,1,1,1,0,1,1,1,0,5
65861,279518440,blr2019eac,0,2,1,1,0,1,1,1,1,6
65862,279842447,blr2019eac,0,3,1,1,0,1,1,1,1,6
65863,280769333,blr2019eac,0,4,0,0,0,1,2,2,1,6
65864,281442064,blr2019eac,0,5,1,1,0,1,2,1,1,7
65865,281451556,blr2019eac,0,6,1,0,0,1,2,2,1,7
65866,281733483,blr2019eac,0,7,1,2,0,1,2,2,1,9
65867,282307095,blr2019eac,0,8,1,1,1,3,2,2,2,12
65868,282794602,blr2019eac,0,9,1,1,1,3,2,2,2,12
65869,283343810,blr2019eac,0,10,3,3,1,3,2,2,1,15
65870,283881381,blr2019eac,1,11,1,3,1,2,2,1,2,12
65871,285249300,blr2019eac,0,12,1,0,0,0,1,2,1,5
65872,285251240,blr2019eac,0,13,0,0,0,0,2,1,1,4
65873,285254814,blr2019eac,0,14,0,0,0,0,2,1,1,4
65874,285257834,blr2019eac,0,15,1,1,1,0,1,1,1,6
65875,285262082,blr2019eac,0,16,0,0,1,1,2,1,1,6
65876,285544546,blr2019eac,0,17,1,1,0,3,2,2,1,10
65877,285550814,blr2019eac,0,18,3,0,0,0,1,2,1,7
65878,286354102,blr2019eac,0,19,0,0,0,1,2,2,1,6
65879,286354323,blr2019eac,0,20,1,3,0,2,2,2,1,11
