,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
67320,297053590,c1708297,0,1,1,0,0,0,1,1,1,4
67321,298983700,c1708297,1,2,1,1,0,1,2,1,1,7
67322,298988007,c1708297,1,3,1,0,0,3,3,1,1,9
67323,298990192,c1708297,1,4,0,0,0,0,2,2,1,5
67324,298991262,c1708297,1,5,0,0,0,0,2,2,1,5
67325,298992775,c1708297,1,6,0,0,0,0,2,1,0,3
67326,298998504,c1708297,1,7,1,0,0,1,2,2,1,7
67327,299000342,c1708297,1,8,1,1,1,3,3,1,1,11
67328,299003714,c1708297,1,9,0,0,0,0,2,1,1,4
67329,299005833,c1708297,1,10,1,0,0,1,3,1,1,7
67330,299007978,c1708297,1,11,1,0,0,0,1,2,1,5
67331,302771319,c1708297,0,12,0,0,0,1,2,2,1,6
67332,303471125,c1708297,0,13,1,0,0,0,3,2,1,7
67333,303980250,c1708297,0,14,0,0,0,0,2,1,1,4
67334,303991101,c1708297,0,15,0,0,0,1,2,2,1,6
67335,303992871,c1708297,0,16,0,0,0,0,2,2,1,5
67336,304453223,c1708297,0,17,2,0,0,1,1,1,1,6
67337,304457367,c1708297,0,18,1,2,0,1,1,2,1,8
67338,305490184,c1708297,0,19,1,0,0,0,1,2,0,4
67339,305492487,c1708297,0,20,0,0,0,0,1,1,1,3
