,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
67880,346151711,captain_mushroom,0,1,1,3,3,3,3,2,2,17
67881,346952150,captain_mushroom,1,2,1,1,0,1,1,1,1,6
67882,346985060,captain_mushroom,1,3,1,1,0,1,1,1,1,6
67883,346992788,captain_mushroom,1,4,1,1,1,1,2,1,1,8
67884,347010094,captain_mushroom,1,5,1,1,0,1,1,1,1,6
67885,347401076,captain_mushroom,1,6,1,1,0,1,1,1,1,6
67886,347409202,captain_mushroom,1,7,1,1,0,1,1,1,1,6
67887,347425427,captain_mushroom,1,8,1,1,0,1,1,1,1,6
67888,348368444,captain_mushroom,1,9,1,1,0,1,1,1,1,6
67889,349737892,captain_mushroom,1,10,1,1,1,1,1,1,1,7
67890,351619655,captain_mushroom,1,11,1,1,0,1,2,1,1,7
67891,351701461,captain_mushroom,1,12,1,1,3,3,2,2,1,13
67892,351716712,captain_mushroom,1,13,3,1,2,3,2,2,2,15
67893,351756265,captain_mushroom,1,14,3,3,3,2,3,1,2,17
67894,351757275,captain_mushroom,1,15,2,1,3,2,2,1,2,13
67895,351758877,captain_mushroom,0,16,0,0,1,0,2,2,1,6
67896,351761180,captain_mushroom,0,17,0,0,1,0,2,2,1,6
67897,351765135,captain_mushroom,0,18,1,1,1,1,2,1,1,8
67898,351850620,captain_mushroom,0,19,0,0,0,0,2,1,0,3
67899,353773272,captain_mushroom,1,20,3,2,3,3,2,2,2,17
