,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
68120,279941571,carmenchu1775,0,1,0,0,0,2,1,1,1,5
68121,280311958,carmenchu1775,0,2,1,1,0,1,1,1,1,6
68122,280315941,carmenchu1775,0,3,0,0,0,2,1,1,1,5
68123,280317141,carmenchu1775,0,4,0,0,0,1,2,1,1,5
68124,280321370,carmenchu1775,0,5,0,0,0,1,2,2,1,6
68125,280322431,carmenchu1775,0,6,0,0,1,0,3,2,1,7
68126,281289561,carmenchu1775,0,7,0,0,0,1,2,1,1,5
68127,281293229,carmenchu1775,0,8,0,0,0,1,1,1,1,4
68128,281536431,carmenchu1775,0,9,0,0,0,1,2,1,1,5
68129,281539115,carmenchu1775,0,10,0,0,1,0,3,2,1,7
68130,281540878,carmenchu1775,0,11,0,0,0,1,2,1,1,5
68131,282913401,carmenchu1775,0,12,0,0,0,0,1,2,0,3
68132,282915092,carmenchu1775,0,13,0,0,0,1,2,2,2,7
68133,282919655,carmenchu1775,0,14,0,0,2,0,2,2,2,8
68134,283165843,carmenchu1775,0,15,1,1,0,2,3,1,1,9
68135,283166825,carmenchu1775,0,16,1,0,0,3,3,1,1,9
68136,284472893,carmenchu1775,0,17,1,1,1,2,3,2,1,11
68137,284477839,carmenchu1775,0,18,1,0,2,2,3,2,2,12
68138,285104879,carmenchu1775,0,19,1,1,1,2,2,2,2,11
68139,286468645,carmenchu1775,0,20,1,1,1,2,2,2,2,11
