,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
69080,287712591,chance-lacy-wilson,0,1,1,1,0,1,2,1,1,7
69081,287714433,chance-lacy-wilson,0,2,1,2,0,1,2,2,1,9
69082,288961753,chance-lacy-wilson,0,3,1,1,0,1,2,1,1,7
69083,288964322,chance-lacy-wilson,0,4,1,1,0,2,2,1,1,8
69084,292543466,chance-lacy-wilson,0,5,1,2,0,1,1,2,1,8
69085,292624341,chance-lacy-wilson,0,6,0,0,0,0,0,0,0,0
69086,292629746,chance-lacy-wilson,0,7,0,0,1,2,2,2,2,9
69087,294145774,chance-lacy-wilson,0,8,0,0,1,0,1,2,2,6
69088,294149670,chance-lacy-wilson,0,9,1,1,1,2,2,1,1,9
69089,294535625,chance-lacy-wilson,0,10,1,1,1,2,2,2,2,11
69090,296557613,chance-lacy-wilson,0,11,1,2,1,2,1,2,2,11
69091,296645382,chance-lacy-wilson,0,12,1,2,1,2,2,2,2,12
69092,296648393,chance-lacy-wilson,0,13,1,1,1,2,2,2,2,11
69093,303680183,chance-lacy-wilson,0,14,1,2,1,2,2,2,2,12
69094,305888311,chance-lacy-wilson,0,15,1,1,1,2,2,2,2,11
69095,306796901,chance-lacy-wilson,0,16,1,1,1,2,2,2,2,11
69096,315822211,chance-lacy-wilson,0,17,2,1,3,0,3,2,2,13
69097,319146531,chance-lacy-wilson,0,18,1,1,3,2,3,2,2,14
69098,323792911,chance-lacy-wilson,0,19,1,2,3,2,2,2,2,14
69099,326359798,chance-lacy-wilson,0,20,1,1,2,2,2,2,2,12
