,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
69180,288028081,charlies-hoodie,1,1,1,1,1,3,2,2,2,12
69181,293022851,charlies-hoodie,1,2,1,1,1,1,2,1,2,9
69182,293818540,charlies-hoodie,0,3,1,0,0,0,1,2,1,5
69183,296220430,charlies-hoodie,0,4,1,0,0,0,2,2,1,6
69184,296223119,charlies-hoodie,1,5,1,1,0,1,2,1,1,7
69185,298198654,charlies-hoodie,1,6,1,0,0,0,1,2,1,5
69186,298476352,charlies-hoodie,1,7,0,0,0,0,0,0,0,0
69187,300212348,charlies-hoodie,1,8,1,1,0,1,2,1,1,7
69188,303306112,charlies-hoodie,0,9,0,0,0,0,1,1,0,2
69189,303499974,charlies-hoodie,1,10,1,1,0,2,2,1,1,8
69190,304305699,charlies-hoodie,1,11,1,0,0,0,1,2,1,5
69191,304775185,charlies-hoodie,0,12,1,0,0,0,1,2,1,5
69192,304992602,charlies-hoodie,0,13,1,0,0,0,1,2,1,5
69193,304992636,charlies-hoodie,0,14,1,0,0,0,1,2,1,5
69194,305246261,charlies-hoodie,0,15,2,1,0,1,2,1,1,8
69195,305573130,charlies-hoodie,0,16,1,1,0,3,2,1,1,9
69196,306124681,charlies-hoodie,0,17,1,1,0,0,1,2,1,6
69197,307474002,charlies-hoodie,0,18,0,0,0,0,0,0,0,0
69198,309224381,charlies-hoodie,0,19,0,0,0,0,0,0,0,0
69199,309991867,charlies-hoodie,0,20,0,0,0,0,1,1,1,3
