,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
69980,279042497,cloudhunter09,0,1,0,0,0,0,2,1,0,3
69981,284864084,cloudhunter09,0,2,1,2,0,1,2,2,1,9
69982,285743634,cloudhunter09,0,3,1,1,0,1,2,1,1,7
69983,288174600,cloudhunter09,1,4,0,0,0,0,2,1,0,3
69984,288349840,cloudhunter09,0,5,1,1,0,1,1,1,1,6
69985,288806492,cloudhunter09,0,6,0,0,0,0,0,0,0,0
69986,290855654,cloudhunter09,0,7,1,1,0,0,2,2,1,7
69987,291284622,cloudhunter09,0,8,0,0,0,0,0,0,0,0
69988,291742643,cloudhunter09,0,9,1,2,0,0,1,2,1,7
69989,292454891,cloudhunter09,0,10,1,1,0,1,2,1,1,7
69990,297039862,cloudhunter09,0,11,0,0,0,0,0,0,0,0
69991,297416141,cloudhunter09,0,12,0,0,0,0,0,0,0,0
69992,298439506,cloudhunter09,0,13,0,0,0,0,0,0,0,0
69993,298542625,cloudhunter09,1,14,1,2,0,1,2,2,1,9
69994,298572173,cloudhunter09,0,15,0,0,0,0,0,0,0,0
69995,300743991,cloudhunter09,0,16,0,0,0,1,1,1,0,3
69996,300991760,cloudhunter09,0,17,1,0,0,0,1,2,1,5
69997,300998779,cloudhunter09,0,18,0,0,0,0,0,0,0,0
69998,301517134,cloudhunter09,1,19,1,2,0,1,2,2,1,9
69999,301648239,cloudhunter09,0,20,1,1,0,1,1,1,0,5
