,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
70620,289070889,conorbar2019,0,1,1,3,0,3,2,1,1,11
70621,289296113,conorbar2019,0,2,1,3,0,2,1,1,1,9
70622,289312836,conorbar2019,0,3,0,0,0,1,2,1,1,5
70623,289324228,conorbar2019,0,4,0,0,0,1,2,1,1,5
70624,289627913,conorbar2019,0,5,0,0,0,1,2,1,1,5
70625,289656619,conorbar2019,1,6,3,3,3,3,3,2,3,20
70626,290559981,conorbar2019,0,7,1,1,0,2,1,1,1,7
70627,290600682,conorbar2019,0,8,1,1,0,1,1,1,1,6
70628,290606467,conorbar2019,0,9,2,3,0,3,3,1,1,13
70629,290639287,conorbar2019,0,10,1,3,0,2,3,1,1,11
70630,290645929,conorbar2019,0,11,1,3,0,3,2,1,1,11
70631,290658233,conorbar2019,0,12,1,3,0,2,2,1,1,10
70632,290673974,conorbar2019,0,13,0,0,0,0,1,1,1,3
70633,290681284,conorbar2019,0,14,2,3,0,3,2,1,1,12
70634,290783026,conorbar2019,0,15,1,1,0,0,1,1,1,5
70635,290805209,conorbar2019,0,16,1,3,0,2,2,1,1,10
70636,290873795,conorbar2019,1,17,3,3,0,3,3,1,2,15
70637,290900681,conorbar2019,1,18,1,1,1,1,2,2,1,9
70638,291136791,conorbar2019,0,19,1,3,0,3,2,2,2,13
70639,291165979,conorbar2019,0,20,1,3,0,2,2,1,1,10
