,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
73380,280177248,cs2366948,0,1,1,1,0,1,1,1,1,6
73381,280799239,cs2366948,1,2,3,1,0,2,2,1,2,11
73382,282330488,cs2366948,1,3,1,1,0,2,2,1,1,8
73383,284380199,cs2366948,1,4,1,1,0,2,2,1,1,8
73384,284970608,cs2366948,1,5,3,1,0,3,2,1,1,11
73385,285568318,cs2366948,1,6,1,3,2,3,1,2,1,13
73386,289709465,cs2366948,0,7,1,1,0,1,2,2,1,8
73387,290373223,cs2366948,1,8,1,0,2,3,1,2,0,9
73388,292198180,cs2366948,0,9,1,1,0,1,2,1,1,7
73389,292200379,cs2366948,1,10,1,1,0,1,2,1,1,7
73390,293058771,cs2366948,1,11,3,1,1,1,2,2,1,11
73391,296169595,cs2366948,0,12,0,0,0,0,0,0,0,0
73392,297083607,cs2366948,0,13,1,1,0,0,2,1,1,6
73393,297806015,cs2366948,1,14,1,1,0,1,2,1,1,7
73394,297817154,cs2366948,0,15,1,1,0,1,2,1,1,7
73395,301390725,cs2366948,1,16,1,2,3,0,3,2,1,12
73396,301395682,cs2366948,0,17,1,3,0,2,1,1,1,9
73397,302045215,cs2366948,1,18,1,0,1,2,2,2,2,10
73398,302052450,cs2366948,1,19,1,2,3,0,3,2,1,12
73399,303287532,cs2366948,0,20,1,1,3,1,2,2,2,12
