,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
83460,279268808,cwkmatthew28460,0,1,2,0,0,0,2,1,1,6
83461,280730270,cwkmatthew28460,0,2,0,0,0,0,0,0,0,0
83462,289078476,cwkmatthew28460,0,3,2,0,3,2,2,2,2,13
83463,294530794,cwkmatthew28460,0,4,0,0,0,0,2,1,0,3
83464,305248362,cwkmatthew28460,0,5,1,1,0,0,1,1,1,5
83465,316196738,cwkmatthew28460,0,6,1,1,1,2,2,2,2,11
83466,322952735,cwkmatthew28460,0,7,1,0,0,0,1,2,1,5
83467,324312733,cwkmatthew28460,1,8,1,3,0,2,2,1,1,10
83468,324413233,cwkmatthew28460,0,9,1,2,0,2,1,2,0,8
83469,325281738,cwkmatthew28460,0,10,1,3,0,3,2,1,1,11
83470,326345034,cwkmatthew28460,0,11,1,3,0,3,2,1,1,11
83471,327885966,cwkmatthew28460,0,12,1,0,0,0,1,2,0,4
83472,328737180,cwkmatthew28460,0,13,1,3,2,3,3,1,2,15
83473,329040648,cwkmatthew28460,1,14,3,3,3,3,3,2,2,19
83474,330985418,cwkmatthew28460,1,15,3,3,3,3,3,2,2,19
83475,331980776,cwkmatthew28460,1,16,1,1,0,0,2,1,1,6
83476,332505682,cwkmatthew28460,0,17,1,3,3,3,2,1,2,15
83477,333460091,cwkmatthew28460,0,18,3,2,3,3,3,2,2,18
83478,336241875,cwkmatthew28460,0,19,1,3,0,3,2,1,1,11
83479,341878085,cwkmatthew28460,0,20,1,3,0,2,2,1,1,10
