,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
83660,297356621,d1709948,0,1,1,1,0,1,1,1,1,6
83661,299295817,d1709948,1,2,1,0,0,1,2,2,1,7
83662,299296020,d1709948,1,3,1,1,0,1,2,1,1,7
83663,299296173,d1709948,1,4,0,0,0,1,1,2,1,5
83664,299296598,d1709948,1,5,0,0,0,0,2,1,0,3
83665,299296838,d1709948,1,6,1,0,0,1,2,2,1,7
83666,299297822,d1709948,1,7,1,0,0,3,3,1,1,9
83667,299300107,d1709948,1,8,0,0,0,0,2,2,1,5
83668,299300320,d1709948,1,9,1,0,0,1,2,2,1,7
83669,299301137,d1709948,1,10,1,1,1,3,3,1,1,11
83670,299304065,d1709948,1,11,0,0,0,0,2,1,1,4
83671,299856606,d1709948,1,12,1,0,0,1,1,2,1,6
83672,299867373,d1709948,1,13,2,1,0,1,1,1,0,6
83673,300452980,d1709948,1,14,0,0,0,1,3,1,1,6
83674,300458648,d1709948,1,15,1,0,0,2,2,1,1,7
83675,300460297,d1709948,1,16,1,0,0,3,2,2,1,9
83676,300463214,d1709948,1,17,1,1,0,2,1,1,1,7
83677,300465291,d1709948,1,18,2,0,0,0,2,2,2,8
83678,300467440,d1709948,1,19,1,1,0,3,1,2,3,11
83679,300468062,d1709948,1,20,1,1,0,3,2,2,2,11
