,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
84220,299195525,david_0822,0,1,1,1,0,0,1,2,0,5
84221,300603409,david_0822,0,2,0,0,2,0,1,2,0,5
84222,300702258,david_0822,0,3,0,0,0,1,1,1,1,4
84223,301216098,david_0822,0,4,1,1,1,3,2,2,2,12
84224,301541316,david_0822,0,5,1,1,0,1,2,2,1,8
84225,301541771,david_0822,0,6,1,1,2,2,1,2,1,10
84226,302423147,david_0822,0,7,1,1,0,3,1,1,1,8
84227,302528082,david_0822,0,8,1,1,2,2,1,2,1,10
84228,302657402,david_0822,0,9,1,0,0,1,2,2,1,7
84229,312897767,david_0822,0,10,0,0,0,0,1,1,1,3
84230,313008544,david_0822,0,11,1,1,1,1,2,2,1,9
84231,313209586,david_0822,0,12,2,0,0,0,2,1,1,6
84232,313695798,david_0822,0,13,1,1,0,0,3,1,1,7
84233,321148515,david_0822,0,14,1,3,0,3,2,1,1,11
84234,322452924,david_0822,0,15,1,1,0,2,2,1,1,8
84235,328996803,david_0822,0,16,0,0,0,0,2,1,1,4
84236,328998440,david_0822,1,17,3,1,1,1,3,2,2,13
84237,332580976,david_0822,1,18,0,0,0,0,0,0,0,0
84238,332583063,david_0822,0,19,1,1,2,3,2,2,3,14
84239,334099462,david_0822,1,20,1,1,1,0,2,1,1,7
