,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
84560,287271861,despertaferro,0,1,1,3,2,2,3,2,3,16
84561,287633200,despertaferro,0,2,0,0,2,1,2,1,1,7
84562,287645093,despertaferro,0,3,1,1,2,0,1,2,2,9
84563,287697996,despertaferro,0,4,1,1,3,1,3,2,2,13
84564,287705619,despertaferro,0,5,1,3,2,2,2,2,2,14
84565,287719000,despertaferro,0,6,0,0,1,0,2,1,1,5
84566,288500029,despertaferro,0,7,1,3,2,2,3,3,3,17
84567,289207933,despertaferro,0,8,1,0,3,2,3,3,3,15
84568,289353054,despertaferro,0,9,0,0,1,1,2,3,1,8
84569,292965484,despertaferro,0,10,2,1,3,2,3,2,3,16
84570,293449318,despertaferro,0,11,2,3,3,2,3,2,3,18
84571,293570949,despertaferro,0,12,2,1,3,2,3,2,3,16
84572,293750938,despertaferro,0,13,1,0,0,2,1,2,1,7
84573,293754589,despertaferro,0,14,1,2,3,2,2,2,2,14
84574,298871120,despertaferro,0,15,1,3,3,2,3,2,2,16
84575,298998713,despertaferro,0,16,1,0,1,1,2,2,3,10
84576,299289696,despertaferro,0,17,1,3,3,2,3,2,2,16
84577,299846066,despertaferro,0,18,1,2,3,2,3,2,3,16
84578,299849381,despertaferro,1,19,1,3,3,2,3,2,3,17
84579,300221867,despertaferro,0,20,1,3,3,2,2,2,3,16
