,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
84820,281719901,dieu70804,1,1,0,0,0,0,2,1,1,4
84821,281722609,dieu70804,1,2,0,0,0,0,2,1,1,4
84822,281723013,dieu70804,1,3,0,0,0,0,2,1,1,4
84823,281726399,dieu70804,1,4,0,0,0,0,1,1,1,3
84824,281730135,dieu70804,1,5,0,0,0,0,2,1,1,4
84825,282022130,dieu70804,1,6,0,0,0,0,2,1,1,4
84826,282023072,dieu70804,0,7,0,0,0,0,2,1,1,4
84827,282302917,dieu70804,1,8,1,1,0,3,2,1,1,9
84828,282784285,dieu70804,0,9,0,0,0,0,2,1,1,4
84829,283085866,dieu70804,0,10,0,0,0,0,1,1,1,3
84830,283086541,dieu70804,0,11,0,0,0,0,1,1,1,3
84831,283086994,dieu70804,0,12,1,1,0,0,1,1,1,5
84832,283604615,dieu70804,0,13,1,1,0,0,2,1,1,6
84833,283869944,dieu70804,1,14,1,2,1,0,2,2,1,9
84834,284920303,dieu70804,0,15,0,0,0,0,2,1,1,4
84835,284921523,dieu70804,0,16,0,0,0,0,2,1,1,4
84836,284923234,dieu70804,0,17,0,0,0,0,2,1,1,4
84837,284924457,dieu70804,0,18,1,1,0,0,2,1,1,6
84838,284927008,dieu70804,0,19,0,0,0,0,2,1,1,4
84839,284928481,dieu70804,0,20,0,0,0,0,2,1,1,4
