,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
84900,280737222,dinoboy299,0,1,1,1,0,0,2,1,1,6
84901,281766700,dinoboy299,0,2,1,1,0,0,2,1,1,6
84902,282230982,dinoboy299,0,3,1,1,0,1,2,2,1,8
84903,282336724,dinoboy299,1,4,1,1,0,0,2,1,0,5
84904,282339805,dinoboy299,1,5,1,2,0,0,2,2,1,8
84905,282340636,dinoboy299,0,6,1,1,0,1,2,2,1,8
84906,282819615,dinoboy299,0,7,0,0,0,0,2,2,1,5
84907,283371086,dinoboy299,0,8,1,1,0,0,2,2,1,7
84908,283523487,dinoboy299,0,9,1,2,0,1,2,2,1,9
84909,283916894,dinoboy299,0,10,1,0,0,1,2,2,1,7
84910,284366652,dinoboy299,0,11,1,2,0,0,2,2,1,8
84911,286085127,dinoboy299,1,12,3,3,3,3,3,2,3,20
84912,286086206,dinoboy299,1,13,2,3,3,3,3,2,3,19
84913,287289486,dinoboy299,1,14,2,3,3,3,3,2,3,19
84914,287292032,dinoboy299,1,15,2,3,3,3,3,2,3,19
84915,287292888,dinoboy299,0,16,1,2,0,0,2,2,1,8
84916,288275151,dinoboy299,0,17,1,0,0,0,2,2,1,6
84917,288325237,dinoboy299,0,18,0,0,0,1,2,1,1,5
84918,288853483,dinoboy299,0,19,1,1,0,1,2,1,1,7
84919,288862230,dinoboy299,0,20,1,2,0,0,2,2,1,8
