,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
84960,279547845,disintegratingfox,0,1,1,1,0,0,2,1,1,6
84961,279681607,disintegratingfox,1,2,1,1,0,1,2,1,1,7
84962,279894035,disintegratingfox,1,3,0,0,0,1,2,1,1,5
84963,281204509,disintegratingfox,0,4,1,0,0,0,2,1,1,5
84964,281207355,disintegratingfox,0,5,0,0,0,0,2,1,1,4
84965,281510430,disintegratingfox,0,6,1,0,0,0,1,2,1,5
84966,281972680,disintegratingfox,0,7,0,0,0,0,2,1,1,4
84967,282552663,disintegratingfox,1,8,0,0,0,1,2,1,1,5
84968,282553647,disintegratingfox,1,9,0,0,0,1,2,1,1,5
84969,282574862,disintegratingfox,0,10,1,0,1,0,1,2,1,6
84970,282703983,disintegratingfox,0,11,1,1,0,0,2,2,0,6
84971,282816033,disintegratingfox,0,12,1,1,0,1,2,1,1,7
84972,282821730,disintegratingfox,0,13,1,2,1,3,1,2,2,12
84973,284557892,disintegratingfox,1,14,0,0,0,1,2,1,1,5
84974,284881786,disintegratingfox,1,15,1,1,0,1,2,1,1,7
84975,284890062,disintegratingfox,1,16,1,1,0,1,2,1,1,7
84976,284930589,disintegratingfox,1,17,1,1,0,1,2,1,1,7
84977,285307752,disintegratingfox,1,18,1,1,0,1,2,1,1,7
84978,285829386,disintegratingfox,0,19,1,2,0,1,2,2,1,9
84979,286082799,disintegratingfox,0,20,0,0,0,0,2,1,2,5
