,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
85120,303701970,djtheprofessor,0,1,1,0,0,1,2,2,1,7
85121,303833631,djtheprofessor,1,2,3,3,2,2,2,2,2,16
85122,303914003,djtheprofessor,0,3,1,2,0,1,2,2,1,9
85123,303927549,djtheprofessor,0,4,1,3,0,3,2,1,1,11
85124,304178878,djtheprofessor,0,5,1,1,0,1,2,2,2,9
85125,304882046,djtheprofessor,1,6,1,2,0,1,2,2,0,8
85126,304882309,djtheprofessor,0,7,1,1,1,0,2,2,2,9
85127,312766563,djtheprofessor,1,8,1,3,0,3,2,2,2,13
85128,313041854,djtheprofessor,0,9,1,2,0,1,1,2,1,8
85129,313281788,djtheprofessor,0,10,1,2,0,1,1,2,1,8
85130,313287712,djtheprofessor,1,11,1,3,0,3,1,2,1,11
85131,313897486,djtheprofessor,0,12,1,2,0,0,2,2,1,8
85132,314488695,djtheprofessor,1,13,1,0,0,3,2,2,2,10
85133,314494321,djtheprofessor,0,14,1,1,0,1,2,1,1,7
85134,315471750,djtheprofessor,0,15,1,1,0,1,2,1,0,6
85135,315815337,djtheprofessor,0,16,1,3,0,3,1,1,1,10
85136,316084598,djtheprofessor,1,17,1,3,0,0,2,3,1,10
85137,316090023,djtheprofessor,0,18,1,1,1,1,2,2,1,9
85138,317050588,djtheprofessor,0,19,1,3,0,3,2,1,1,11
85139,317140217,djtheprofessor,0,20,1,1,0,0,2,1,1,6
