,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
85300,287709877,dogeegodgod,0,1,0,0,0,0,1,3,0,4
85301,309318690,dogeegodgod,0,2,1,1,3,2,2,2,2,13
85302,309323451,dogeegodgod,0,3,1,1,0,1,2,1,1,7
85303,310961104,dogeegodgod,0,4,1,1,0,2,1,1,1,7
85304,311382292,dogeegodgod,0,5,1,1,3,2,2,2,2,13
85305,312065425,dogeegodgod,0,6,0,0,0,0,0,0,0,0
85306,312922796,dogeegodgod,1,7,3,1,1,2,2,2,2,13
85307,312973794,dogeegodgod,1,8,1,0,0,0,1,2,2,6
85308,312983046,dogeegodgod,1,9,0,0,0,0,0,0,0,0
85309,313065321,dogeegodgod,1,10,0,0,0,0,1,1,1,3
85310,324720172,dogeegodgod,1,11,1,3,3,3,3,2,2,17
85311,333804774,dogeegodgod,0,12,1,3,2,3,2,2,2,15
85312,334195264,dogeegodgod,0,13,3,1,3,1,3,2,2,15
85313,334924277,dogeegodgod,1,14,3,3,3,3,3,2,2,19
85314,335212697,dogeegodgod,1,15,1,0,0,1,1,1,0,4
85315,335225732,dogeegodgod,1,16,3,3,3,3,3,2,2,19
85316,335523452,dogeegodgod,1,17,3,1,0,1,2,1,1,9
85317,335894897,dogeegodgod,0,18,2,1,1,2,2,2,1,11
85318,335912410,dogeegodgod,0,19,1,1,0,2,2,1,1,8
85319,335926730,dogeegodgod,0,20,1,3,0,2,2,1,1,10
