,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
85780,294941243,draytmic00044,0,1,1,2,0,1,2,2,1,9
85781,295282714,draytmic00044,0,2,0,0,0,1,2,2,1,6
85782,295632135,draytmic00044,1,3,1,1,0,1,2,1,1,7
85783,295633587,draytmic00044,1,4,1,0,0,3,3,1,1,9
85784,295636703,draytmic00044,0,5,1,1,0,0,1,1,1,5
85785,296123726,draytmic00044,1,6,0,0,0,0,1,1,1,3
85786,296130147,draytmic00044,1,7,0,0,0,0,2,2,1,5
85787,296131971,draytmic00044,1,8,0,0,0,0,2,1,0,3
85788,298987912,draytmic00044,0,9,1,2,0,1,2,2,0,8
85789,298992509,draytmic00044,0,10,0,0,0,0,2,1,1,4
85790,298995257,draytmic00044,0,11,0,0,0,1,2,2,1,6
85791,298997215,draytmic00044,1,12,1,0,0,1,2,2,1,7
85792,298999061,draytmic00044,1,13,1,1,1,3,3,1,1,11
85793,299000709,draytmic00044,1,14,0,0,0,0,2,1,1,4
85794,299328972,draytmic00044,1,15,0,0,0,1,3,1,1,6
85795,299329905,draytmic00044,1,16,1,0,0,0,1,2,1,5
85796,299331411,draytmic00044,0,17,1,1,0,0,3,1,1,7
85797,299834710,draytmic00044,0,18,2,1,0,0,2,1,1,7
85798,299839308,draytmic00044,1,19,1,1,0,3,1,1,1,8
85799,299841470,draytmic00044,0,20,1,1,0,3,1,1,1,8
