,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
86040,325345852,dylana4049,0,1,0,0,0,0,1,1,0,2
86041,325346372,dylana4049,0,2,1,1,0,0,1,2,1,6
86042,325784412,dylana4049,0,3,0,0,0,0,1,1,0,2
86043,325785896,dylana4049,0,4,0,0,0,0,1,1,1,3
86044,325795403,dylana4049,0,5,0,0,0,0,1,1,0,2
86045,325796808,dylana4049,0,6,0,0,0,0,1,1,0,2
86046,325798959,dylana4049,0,7,1,1,0,0,1,1,0,4
86047,325976639,dylana4049,0,8,1,1,0,0,1,1,0,4
86048,326123612,dylana4049,1,9,1,3,0,2,2,1,1,10
86049,326124451,dylana4049,0,10,1,1,0,0,1,1,1,5
86050,326212489,dylana4049,1,11,2,3,3,3,3,2,3,19
86051,326320733,dylana4049,0,12,1,1,0,0,1,1,0,4
86052,326323195,dylana4049,1,13,1,1,0,1,2,2,1,8
86053,326324727,dylana4049,1,14,1,2,0,2,2,2,1,10
86054,326540538,dylana4049,1,15,1,3,0,2,2,1,1,10
86055,326541201,dylana4049,1,16,0,0,0,0,0,0,0,0
86056,326542023,dylana4049,1,17,1,3,0,2,2,1,2,11
86057,326542569,dylana4049,1,18,1,3,3,2,3,1,1,14
86058,326543329,dylana4049,1,19,1,2,0,1,2,2,1,9
86059,327401275,dylana4049,1,20,1,1,0,0,1,1,0,4
