,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
86420,298695749,eferh,1,1,1,2,3,1,3,2,2,14
86421,298696478,eferh,1,2,3,3,3,3,3,2,2,19
86422,298696969,eferh,1,3,1,1,1,0,2,1,1,7
86423,298698254,eferh,1,4,3,3,3,3,3,2,3,20
86424,298698714,eferh,1,5,3,1,1,0,2,2,1,10
86425,298698831,eferh,0,6,1,3,3,3,2,2,2,16
86426,298698858,eferh,0,7,0,0,0,0,1,1,1,3
86427,300120932,eferh,1,8,1,1,1,3,2,1,2,11
86428,300122683,eferh,1,9,1,1,1,3,2,1,2,11
86429,300152377,eferh,0,10,3,3,3,3,3,2,2,19
86430,300153916,eferh,1,11,3,1,3,1,3,2,2,15
86431,300306859,eferh,1,12,2,3,0,2,2,1,2,12
86432,305790984,eferh,0,13,1,3,1,3,3,2,1,14
86433,306613041,eferh,1,14,1,1,3,2,2,2,2,13
86434,308439440,eferh,1,15,3,3,3,3,3,2,2,19
86435,310733999,eferh,1,16,3,3,3,3,2,2,2,18
86436,314486645,eferh,0,17,2,3,1,3,2,2,1,14
86437,315540469,eferh,0,18,2,3,3,3,2,2,3,18
86438,317008355,eferh,1,19,3,3,3,3,3,2,2,19
86439,318416926,eferh,0,20,1,1,3,2,3,2,1,13
