,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
86500,282027184,eh32,0,1,1,2,0,1,2,2,1,9
86501,283076765,eh32,0,2,1,1,0,1,2,1,1,7
86502,283606424,eh32,0,3,1,0,0,0,2,2,1,6
86503,283876668,eh32,0,4,1,0,0,1,2,2,2,8
86504,284348634,eh32,0,5,0,0,0,1,1,1,1,4
86505,284632950,eh32,0,6,1,1,0,1,1,1,1,6
86506,285243372,eh32,0,7,0,0,0,0,2,1,1,4
86507,285245244,eh32,0,8,1,1,2,1,2,2,2,11
86508,286354366,eh32,0,9,1,1,0,2,2,2,2,10
86509,286669183,eh32,0,10,1,3,2,2,1,2,2,13
86510,287698641,eh32,0,11,0,0,1,2,2,1,2,8
86511,287950421,eh32,0,12,0,0,0,3,1,1,1,6
86512,288237453,eh32,0,13,1,3,1,2,2,2,2,13
86513,288524465,eh32,0,14,0,0,0,3,2,2,1,8
86514,288532039,eh32,0,15,3,1,1,1,2,2,2,12
86515,289345380,eh32,0,16,0,0,2,0,2,1,0,5
86516,290638500,eh32,0,17,0,0,0,0,0,0,0,0
86517,291148435,eh32,1,18,1,0,0,3,2,2,1,9
86518,291475486,eh32,1,19,0,0,0,0,2,1,1,4
86519,292164467,eh32,0,20,1,3,1,2,2,2,2,13
