,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
86880,298061873,emilygreulach,0,1,1,1,0,0,1,1,1,5
86881,298099198,emilygreulach,0,2,1,1,0,0,3,1,1,7
86882,298101973,emilygreulach,0,3,1,0,0,0,1,1,1,4
86883,298431174,emilygreulach,1,4,1,1,0,1,2,1,1,7
86884,298432276,emilygreulach,1,5,1,0,0,3,3,1,1,9
86885,298433026,emilygreulach,1,6,0,0,0,1,1,2,1,5
86886,298973614,emilygreulach,1,7,0,0,0,0,2,2,1,5
86887,298974550,emilygreulach,1,8,0,0,0,0,2,1,0,3
86888,299310641,emilygreulach,0,9,0,0,0,0,1,1,1,3
86889,300128761,emilygreulach,0,10,1,2,0,0,1,2,0,6
86890,300163471,emilygreulach,0,11,1,1,0,0,2,1,1,6
86891,300468782,emilygreulach,0,12,0,0,0,1,2,2,1,6
86892,301001670,emilygreulach,1,13,1,0,0,1,2,2,1,7
86893,301004375,emilygreulach,1,14,1,1,1,3,3,1,1,11
86894,301005339,emilygreulach,1,15,0,0,0,0,2,1,1,4
86895,301323768,emilygreulach,1,16,0,0,0,1,3,1,1,6
86896,301323963,emilygreulach,1,17,0,0,0,1,3,1,1,6
86897,301324154,emilygreulach,1,18,1,0,0,0,1,2,1,5
86898,301946159,emilygreulach,0,19,2,0,0,1,1,2,1,7
86899,301977505,emilygreulach,1,20,1,1,0,1,1,1,1,6
