,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
87100,278804570,ensaladillarusa,0,1,0,0,0,1,2,2,1,6
87101,282181204,ensaladillarusa,0,2,1,2,0,0,1,2,1,7
87102,287139681,ensaladillarusa,0,3,1,2,0,1,1,2,1,8
87103,287144556,ensaladillarusa,0,4,1,2,0,1,2,2,1,9
87104,288693359,ensaladillarusa,0,5,1,2,0,1,1,2,1,8
87105,288695504,ensaladillarusa,0,6,1,0,0,0,1,2,1,5
87106,292340691,ensaladillarusa,0,7,1,0,0,0,1,2,1,5
87107,292343002,ensaladillarusa,0,8,0,0,0,0,1,2,1,4
87108,292344009,ensaladillarusa,0,9,1,2,0,1,1,2,1,8
87109,296350059,ensaladillarusa,0,10,1,2,0,1,2,2,1,9
87110,300366672,ensaladillarusa,0,11,0,0,0,0,2,2,1,5
87111,300369300,ensaladillarusa,0,12,1,2,0,0,2,2,1,8
87112,300370693,ensaladillarusa,0,13,0,0,0,0,3,1,1,5
87113,302186796,ensaladillarusa,0,14,1,0,0,1,2,2,1,7
87114,302187943,ensaladillarusa,0,15,1,0,0,2,2,1,1,7
87115,304906138,ensaladillarusa,0,16,1,1,0,1,1,1,1,6
87116,308515050,ensaladillarusa,0,17,1,1,0,2,1,1,1,7
87117,308521142,ensaladillarusa,0,18,0,0,2,0,1,2,0,5
87118,308524515,ensaladillarusa,0,19,1,1,1,0,2,1,1,7
87119,308526341,ensaladillarusa,0,20,1,1,1,1,3,1,1,9
