,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
87380,280119674,erjiang1,0,1,1,1,0,0,2,2,1,7
87381,281707457,erjiang1,0,2,1,2,0,2,2,2,1,10
87382,282761195,erjiang1,1,3,2,0,2,3,2,2,1,12
87383,283042564,erjiang1,0,4,1,3,0,2,2,2,1,11
87384,284900704,erjiang1,0,5,1,0,0,0,2,2,1,6
87385,285217780,erjiang1,0,6,1,1,0,0,2,3,1,8
87386,285510315,erjiang1,1,7,1,2,0,1,2,2,1,9
87387,286327345,erjiang1,0,8,0,0,0,1,2,1,1,5
87388,286955048,erjiang1,1,9,1,1,0,0,2,1,1,6
87389,287237361,erjiang1,0,10,1,1,0,1,2,2,1,8
87390,287925482,erjiang1,0,11,1,1,0,1,2,1,1,7
87391,289653823,erjiang1,0,12,1,2,1,1,2,2,1,10
87392,290316050,erjiang1,0,13,1,1,2,1,2,2,1,10
87393,293716013,erjiang1,1,14,1,2,2,2,1,2,1,11
87394,295255542,erjiang1,0,15,1,1,0,1,2,1,1,7
87395,298967731,erjiang1,0,16,1,0,0,2,1,2,1,7
87396,299821431,erjiang1,0,17,1,2,1,1,2,2,2,11
87397,301338668,erjiang1,0,18,1,2,1,2,2,2,2,12
87398,303241394,erjiang1,0,19,1,1,1,0,2,2,2,9
87399,303464448,erjiang1,0,20,1,1,1,1,1,2,1,8
