,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
87420,298197180,errorfoxx,0,1,1,1,0,0,1,1,1,5
87421,298204151,errorfoxx,0,2,0,0,0,0,1,1,0,2
87422,298518404,errorfoxx,1,3,0,0,0,0,0,0,0,0
87423,298575646,errorfoxx,0,4,1,0,0,0,1,2,1,5
87424,298585457,errorfoxx,1,5,1,1,0,0,2,1,1,6
87425,299085096,errorfoxx,0,6,1,0,0,0,1,2,1,5
87426,302362410,errorfoxx,1,7,0,0,0,0,0,0,0,0
87427,302454736,errorfoxx,0,8,0,0,0,0,0,0,0,0
87428,302498926,errorfoxx,0,9,0,0,0,0,1,1,0,2
87429,302592831,errorfoxx,1,10,1,1,0,1,2,1,1,7
87430,302750853,errorfoxx,1,11,0,0,0,0,1,1,0,2
87431,304054731,errorfoxx,0,12,0,0,0,0,1,1,1,3
87432,304656552,errorfoxx,1,13,0,0,0,0,0,0,0,0
87433,304916922,errorfoxx,1,14,0,0,0,0,2,1,0,3
87434,305028949,errorfoxx,0,15,0,0,0,0,1,1,1,3
87435,305415031,errorfoxx,1,16,1,1,0,0,2,1,0,5
87436,305429868,errorfoxx,1,17,0,0,0,0,2,1,0,3
87437,305452561,errorfoxx,1,18,1,1,0,0,2,2,1,7
87438,305762065,errorfoxx,1,19,1,1,0,1,2,1,2,8
87439,306350404,errorfoxx,1,20,0,0,0,0,0,0,0,0
