,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
87500,283334639,eshraq5b,0,1,0,0,0,0,0,0,0,0
87501,283335024,eshraq5b,0,2,0,0,0,0,0,0,0,0
87502,283335188,eshraq5b,0,3,0,0,0,0,0,0,0,0
87503,283336094,eshraq5b,0,4,0,0,0,0,0,0,0,0
87504,283336920,eshraq5b,0,5,0,0,0,0,0,0,0,0
87505,283337573,eshraq5b,0,6,0,0,0,0,0,0,0,0
87506,283337691,eshraq5b,0,7,0,0,0,0,0,0,0,0
87507,283337778,eshraq5b,0,8,0,0,0,0,0,0,0,0
87508,283337902,eshraq5b,0,9,0,0,0,0,0,0,0,0
87509,283337990,eshraq5b,0,10,0,0,0,0,0,0,0,0
87510,283338117,eshraq5b,0,11,0,0,0,1,2,1,1,5
87511,283338324,eshraq5b,0,12,0,0,0,1,2,1,2,6
87512,283351038,eshraq5b,0,13,0,0,0,1,2,1,1,5
87513,283421679,eshraq5b,0,14,0,0,0,0,2,1,1,4
87514,283421880,eshraq5b,0,15,0,0,0,1,2,1,1,5
87515,283421947,eshraq5b,0,16,0,0,0,1,2,1,1,5
87516,283422123,eshraq5b,0,17,0,0,0,0,1,1,1,3
87517,283422306,eshraq5b,0,18,0,0,0,0,0,0,1,1
87518,283422626,eshraq5b,0,19,0,0,0,1,2,1,1,5
87519,287765754,eshraq5b,0,20,1,1,0,3,2,1,1,9
