,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
87660,298021338,ethanps307,0,1,1,1,0,0,1,1,0,4
87661,298060027,ethanps307,1,2,1,1,0,1,1,1,0,5
87662,298075944,ethanps307,0,3,0,0,0,0,1,1,0,2
87663,298105929,ethanps307,0,4,1,1,0,0,1,1,0,4
87664,298405788,ethanps307,0,5,0,0,0,0,1,1,0,2
87665,298431748,ethanps307,0,6,0,0,0,0,1,1,0,2
87666,298435231,ethanps307,1,7,1,2,0,0,2,2,1,8
87667,298436372,ethanps307,1,8,1,2,0,0,1,2,0,6
87668,298437516,ethanps307,1,9,0,0,0,0,1,1,0,2
87669,298442919,ethanps307,1,10,0,0,0,0,1,1,0,2
87670,298450436,ethanps307,1,11,2,3,2,2,3,1,2,15
87671,298450664,ethanps307,0,12,0,0,0,0,1,1,0,2
87672,298457867,ethanps307,1,13,3,3,3,3,3,2,3,20
87673,298885677,ethanps307,0,14,0,0,0,0,1,1,0,2
87674,298887608,ethanps307,1,15,3,3,3,3,3,2,2,19
87675,298895660,ethanps307,1,16,3,3,3,3,3,2,3,20
87676,298897952,ethanps307,1,17,1,3,3,3,3,2,2,17
87677,298901047,ethanps307,0,18,0,0,0,0,1,1,0,2
87678,298904908,ethanps307,0,19,0,0,0,0,1,1,0,2
87679,298907608,ethanps307,1,20,2,1,3,0,2,2,2,12
