,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
87680,284302032,etmonster31,0,1,0,0,0,0,0,0,0,0
87681,284878617,etmonster31,0,2,1,1,0,1,2,1,1,7
87682,285181606,etmonster31,0,3,1,1,0,1,2,1,1,7
87683,285992197,etmonster31,0,4,1,1,0,1,1,1,0,5
87684,286619357,etmonster31,1,5,1,1,0,1,2,1,1,7
87685,287219792,etmonster31,1,6,1,1,1,0,2,2,1,8
87686,288186482,etmonster31,0,7,1,2,0,2,2,2,1,10
87687,288777087,etmonster31,1,8,1,2,3,1,3,2,1,13
87688,289624207,etmonster31,1,9,0,0,1,0,2,2,1,6
87689,290283423,etmonster31,1,10,1,2,3,0,2,2,1,11
87690,291102805,etmonster31,0,11,1,1,3,0,2,2,1,10
87691,291761938,etmonster31,1,12,3,2,3,0,3,2,2,15
87692,293003060,etmonster31,1,13,1,3,1,3,2,2,2,14
87693,293682012,etmonster31,1,14,1,1,2,2,2,2,2,12
87694,294894903,etmonster31,1,15,1,1,1,0,2,2,2,9
87695,295584911,etmonster31,1,16,1,1,1,3,2,2,1,11
87696,296440424,etmonster31,1,17,1,1,3,1,3,2,1,12
87697,297017066,etmonster31,1,18,1,1,1,2,3,2,2,12
87698,299284093,etmonster31,0,19,1,1,0,1,2,2,1,8
87699,299783351,etmonster31,1,20,2,0,0,1,2,1,1,7
