,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
88700,287367422,fman2011,0,1,1,3,1,2,2,2,1,12
88701,287369558,fman2011,0,2,1,2,0,1,3,2,2,11
88702,287371643,fman2011,0,3,1,3,0,2,1,1,1,9
88703,287374119,fman2011,0,4,1,2,1,2,3,2,2,13
88704,290887248,fman2011,0,5,1,1,0,1,1,1,1,6
88705,291260769,fman2011,0,6,0,0,0,0,1,2,0,3
88706,291765432,fman2011,0,7,0,0,0,0,1,2,0,3
88707,292053605,fman2011,0,8,0,0,0,0,1,2,0,3
88708,292067981,fman2011,0,9,1,1,0,1,2,1,1,7
88709,292574898,fman2011,0,10,1,1,0,0,1,1,1,5
88710,292576884,fman2011,0,11,0,0,0,0,1,2,0,3
88711,292577700,fman2011,0,12,1,0,0,3,2,2,2,10
88712,292587345,fman2011,0,13,0,0,0,1,2,1,1,5
88713,292697186,fman2011,0,14,1,1,0,1,1,2,1,7
88714,292752455,fman2011,0,15,1,0,0,0,2,1,1,5
88715,292753891,fman2011,0,16,0,0,0,1,2,3,1,7
88716,292849410,fman2011,0,17,0,0,0,1,1,1,0,3
88717,294001380,fman2011,0,18,0,0,0,1,2,1,1,5
88718,294016603,fman2011,0,19,1,0,0,1,1,2,1,6
88719,294598574,fman2011,0,20,1,1,0,1,2,1,1,7
