,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
88800,282840255,fortniteandcuphead70,1,1,1,2,0,0,2,2,1,8
88801,283384387,fortniteandcuphead70,0,2,1,0,0,0,2,2,1,6
88802,284996584,fortniteandcuphead70,0,3,1,1,0,0,2,1,1,6
88803,284997691,fortniteandcuphead70,0,4,0,0,0,0,2,1,1,4
88804,284999317,fortniteandcuphead70,0,5,1,1,0,0,1,1,1,5
88805,284999695,fortniteandcuphead70,0,6,0,0,0,0,1,1,0,2
88806,285000743,fortniteandcuphead70,0,7,0,0,0,0,1,1,0,2
88807,285001745,fortniteandcuphead70,0,8,0,0,0,0,2,1,1,4
88808,285267308,fortniteandcuphead70,0,9,0,0,0,0,0,0,0,0
88809,285267817,fortniteandcuphead70,0,10,0,0,0,0,1,1,0,2
88810,285508890,fortniteandcuphead70,0,11,0,0,0,0,2,1,0,3
88811,285512820,fortniteandcuphead70,1,12,1,1,0,0,1,1,1,5
88812,286731635,fortniteandcuphead70,1,13,1,2,3,0,3,2,1,12
88813,286945475,fortniteandcuphead70,1,14,1,3,3,3,3,2,3,18
88814,286946492,fortniteandcuphead70,0,15,1,2,3,3,3,2,1,15
88815,288291172,fortniteandcuphead70,1,16,0,0,1,2,2,2,1,8
88816,288837543,fortniteandcuphead70,0,17,1,2,3,0,3,2,1,12
88817,289407473,fortniteandcuphead70,1,18,1,2,3,2,3,2,1,14
88818,290079089,fortniteandcuphead70,0,19,1,1,3,0,2,2,1,10
88819,290084151,fortniteandcuphead70,1,20,3,2,3,0,3,2,2,15
