,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
89080,322266693,ftarlao,0,1,0,0,0,1,1,1,0,3
89081,323098237,ftarlao,0,2,1,0,0,1,1,2,2,7
89082,323099178,ftarlao,0,3,1,0,2,1,1,2,2,9
89083,323099923,ftarlao,0,4,1,0,0,1,3,1,2,8
89084,323350012,ftarlao,0,5,1,2,1,1,3,2,3,13
89085,323697252,ftarlao,0,6,0,0,0,0,0,0,0,0
89086,323790502,ftarlao,0,7,0,0,0,0,0,1,0,1
89087,323842214,ftarlao,0,8,0,0,0,0,0,1,0,1
89088,324824000,ftarlao,0,9,0,0,0,0,1,2,2,5
89089,324967238,ftarlao,0,10,1,2,0,0,1,2,2,8
89090,324974149,ftarlao,0,11,1,0,1,0,3,2,3,10
89091,324978025,ftarlao,0,12,0,0,3,0,3,2,3,11
89092,325132828,ftarlao,0,13,1,0,1,0,2,1,3,8
89093,325271535,ftarlao,0,14,0,0,3,0,2,1,3,9
89094,325283820,ftarlao,0,15,1,0,1,1,2,1,3,9
89095,325292361,ftarlao,0,16,1,1,3,0,3,2,3,13
89096,327070811,ftarlao,0,17,0,0,1,0,1,2,2,6
89097,327086764,ftarlao,0,18,0,0,1,0,2,1,3,7
89098,327087209,ftarlao,0,19,0,0,1,0,2,1,3,7
89099,327116596,ftarlao,0,20,1,0,2,0,2,1,3,9
