,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
89300,287928442,gaelgarcia2024,1,1,0,0,0,0,0,0,0,0
89301,288227163,gaelgarcia2024,1,2,0,0,0,1,2,1,1,5
89302,288800235,gaelgarcia2024,1,3,0,0,0,1,2,1,1,5
89303,288802167,gaelgarcia2024,1,4,1,2,3,0,3,2,1,12
89304,289652877,gaelgarcia2024,1,5,0,0,1,2,2,2,1,8
89305,290616297,gaelgarcia2024,0,6,1,0,1,0,2,2,1,7
89306,290622768,gaelgarcia2024,0,7,1,1,1,0,2,2,1,8
89307,291133637,gaelgarcia2024,1,8,1,2,3,0,3,2,1,12
89308,294921583,gaelgarcia2024,0,9,1,2,3,0,3,2,1,12
89309,294926144,gaelgarcia2024,0,10,1,1,3,0,2,2,1,10
89310,295272929,gaelgarcia2024,0,11,3,1,1,2,2,2,2,13
89311,296105108,gaelgarcia2024,0,12,1,1,3,0,2,2,1,10
89312,297396771,gaelgarcia2024,1,13,3,2,3,0,3,2,2,15
89313,298106626,gaelgarcia2024,0,14,2,3,3,2,3,2,2,17
89314,298113014,gaelgarcia2024,1,15,3,2,3,0,3,2,2,15
89315,298983545,gaelgarcia2024,0,16,1,1,3,0,2,2,1,10
89316,299320828,gaelgarcia2024,1,17,1,3,1,3,2,2,1,13
89317,300480575,gaelgarcia2024,0,18,0,0,1,1,2,2,1,7
89318,302996986,gaelgarcia2024,1,19,1,1,2,2,2,2,2,12
89319,303465156,gaelgarcia2024,0,20,1,3,1,2,3,2,2,14
