,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
89400,279914953,gamerscooby,0,1,0,0,0,1,2,1,1,5
89401,279917534,gamerscooby,0,2,1,1,0,0,2,1,1,6
89402,280033572,gamerscooby,0,3,1,1,0,0,2,2,1,7
89403,280228724,gamerscooby,1,4,3,1,3,2,3,2,2,16
89404,280230652,gamerscooby,1,5,3,1,3,1,2,2,2,14
89405,280551846,gamerscooby,1,6,2,3,3,2,2,2,2,16
89406,280832247,gamerscooby,0,7,1,1,0,0,3,1,1,7
89407,280905988,gamerscooby,0,8,1,1,0,1,2,1,1,7
89408,280910967,gamerscooby,0,9,0,0,0,0,0,0,0,0
89409,280932326,gamerscooby,0,10,0,0,0,0,2,1,0,3
89410,280934433,gamerscooby,0,11,1,3,0,3,2,1,1,11
89411,281015974,gamerscooby,1,12,1,3,3,3,3,2,2,17
89412,281030025,gamerscooby,1,13,1,1,0,2,2,1,1,8
89413,281054204,gamerscooby,1,14,1,3,0,3,3,1,1,12
89414,281172245,gamerscooby,1,15,1,3,0,3,3,1,1,12
89415,281233892,gamerscooby,1,16,0,0,0,0,0,0,0,0
89416,281501278,gamerscooby,1,17,1,3,0,3,3,1,1,12
89417,281803389,gamerscooby,1,18,1,3,0,2,2,1,1,10
89418,281805478,gamerscooby,1,19,1,3,3,3,2,2,2,16
89419,281805937,gamerscooby,1,20,1,1,0,0,2,1,1,6
