,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
89420,278658774,gametec6,0,1,3,3,3,3,3,2,2,19
89421,283040324,gametec6,0,2,1,3,3,3,3,2,1,16
89422,284324308,gametec6,0,3,1,3,3,3,3,2,2,17
89423,286022203,gametec6,0,4,3,3,3,3,3,2,2,19
89424,287937078,gametec6,0,5,1,3,3,3,3,2,2,17
89425,289755110,gametec6,0,6,1,3,3,3,3,2,2,17
89426,291133760,gametec6,0,7,1,3,3,3,2,2,2,16
89427,292210079,gametec6,0,8,3,3,3,3,2,2,2,18
89428,293092515,gametec6,0,9,3,3,1,3,2,2,2,16
89429,293377316,gametec6,0,10,3,1,3,2,3,1,2,15
89430,293713284,gametec6,0,11,3,3,1,3,2,2,1,15
89431,294373141,gametec6,0,12,3,1,3,2,3,2,2,16
89432,297086196,gametec6,1,13,3,1,1,2,2,2,2,13
89433,297132112,gametec6,0,14,1,1,3,1,2,1,1,10
89434,297796088,gametec6,0,15,1,2,1,1,2,2,2,11
89435,298041850,gametec6,0,16,1,3,2,2,2,2,2,14
89436,298171360,gametec6,0,17,3,1,3,1,2,1,2,13
89437,298494658,gametec6,1,18,3,1,3,3,3,2,2,17
89438,299067598,gametec6,0,19,3,1,3,1,3,2,2,15
89439,299298543,gametec6,0,20,3,1,3,1,3,2,2,15
