,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
89500,329904083,garfieldguy,0,1,1,2,0,0,1,2,2,8
89501,329919627,garfieldguy,1,2,1,1,0,1,2,1,1,7
89502,329946832,garfieldguy,0,3,1,1,0,0,2,1,1,6
89503,330037409,garfieldguy,0,4,1,0,0,0,2,2,1,6
89504,330040730,garfieldguy,0,5,0,0,0,0,1,2,2,5
89505,330043278,garfieldguy,1,6,3,3,0,3,2,1,1,13
89506,330328362,garfieldguy,0,7,0,0,0,0,1,1,0,2
89507,330329930,garfieldguy,1,8,1,0,0,0,2,1,0,4
89508,330332828,garfieldguy,0,9,0,0,0,0,0,0,0,0
89509,330504468,garfieldguy,1,10,2,1,3,3,3,2,2,16
89510,330575303,garfieldguy,0,11,1,0,0,0,2,2,1,6
89511,330668164,garfieldguy,1,12,1,1,0,1,2,1,1,7
89512,330668626,garfieldguy,0,13,1,1,0,0,2,1,1,6
89513,330670096,garfieldguy,1,14,3,2,3,2,3,2,2,17
89514,331010929,garfieldguy,0,15,0,0,0,0,0,0,0,0
89515,331015749,garfieldguy,1,16,1,1,0,0,3,1,1,7
89516,331110598,garfieldguy,1,17,0,0,0,0,2,1,0,3
89517,331111862,garfieldguy,0,18,1,1,0,0,1,1,1,5
89518,331439538,garfieldguy,1,19,1,1,0,0,2,1,1,6
89519,331752119,garfieldguy,1,20,0,0,0,0,0,0,0,0
