,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
90320,292795765,goatgirl4,1,1,2,1,2,0,2,2,2,11
90321,293593096,goatgirl4,1,2,0,0,0,0,2,1,0,3
90322,294259055,goatgirl4,1,3,3,1,3,2,2,2,2,15
90323,294661562,goatgirl4,1,4,1,1,2,0,2,2,2,10
90324,294801214,goatgirl4,0,5,0,0,0,0,0,0,0,0
90325,295138708,goatgirl4,1,6,1,3,3,2,2,2,2,15
90326,295142603,goatgirl4,1,7,2,1,3,3,3,2,2,16
90327,296732262,goatgirl4,1,8,2,1,3,0,2,2,2,12
90328,297097756,goatgirl4,0,9,1,1,1,1,2,2,1,9
90329,298090999,goatgirl4,0,10,2,1,1,1,2,1,1,9
90330,298320216,goatgirl4,1,11,1,1,1,1,2,1,1,8
90331,298398136,goatgirl4,1,12,1,1,2,0,2,2,2,10
90332,298403514,goatgirl4,1,13,0,0,0,0,0,0,0,0
90333,298417093,goatgirl4,1,14,3,3,3,3,2,2,2,18
90334,298505515,goatgirl4,1,15,3,3,3,3,3,2,2,19
90335,298505625,goatgirl4,1,16,1,1,3,3,2,2,2,14
90336,298728585,goatgirl4,1,17,3,1,3,2,2,2,2,15
90337,300621785,goatgirl4,1,18,3,3,3,3,3,2,3,20
90338,301027351,goatgirl4,0,19,0,0,0,0,2,1,0,3
90339,301994228,goatgirl4,1,20,1,3,3,3,3,2,2,17
