,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
91760,287584474,hectorgomez19,0,1,1,1,0,1,2,1,1,7
91761,287775724,hectorgomez19,0,2,0,0,0,0,0,0,0,0
91762,287777931,hectorgomez19,0,3,0,0,0,0,2,1,1,4
91763,289158298,hectorgomez19,0,4,1,1,0,0,1,1,1,5
91764,289160360,hectorgomez19,0,5,0,0,0,0,1,1,1,3
91765,289161594,hectorgomez19,0,6,0,0,0,0,1,1,1,3
91766,289462621,hectorgomez19,0,7,0,0,0,0,1,2,1,4
91767,289466054,hectorgomez19,0,8,1,1,0,1,1,1,1,6
91768,289468179,hectorgomez19,0,9,1,1,0,1,1,1,1,6
91769,289469588,hectorgomez19,0,10,1,1,0,1,1,1,1,6
91770,290863970,hectorgomez19,0,11,0,0,0,1,1,1,0,3
91771,290865482,hectorgomez19,0,12,1,1,3,2,2,2,1,12
91772,290866426,hectorgomez19,0,13,1,1,2,0,2,2,1,9
91773,290867244,hectorgomez19,0,14,1,0,0,3,1,1,0,6
91774,290868999,hectorgomez19,0,15,1,3,1,3,2,1,1,12
91775,293176043,hectorgomez19,0,16,1,1,1,0,2,2,1,8
91776,294759907,hectorgomez19,0,17,1,1,1,0,2,2,1,8
91777,295072471,hectorgomez19,0,18,1,1,1,3,2,2,1,11
91778,296874111,hectorgomez19,0,19,1,1,1,3,2,2,2,12
91779,296877785,hectorgomez19,0,20,1,1,1,3,2,2,1,11
