,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
91880,293854575,helloijiwon,0,1,1,0,0,0,1,2,1,5
91881,293863294,helloijiwon,0,2,1,0,0,0,1,2,1,5
91882,293864530,helloijiwon,0,3,1,0,0,0,1,2,1,5
91883,295758810,helloijiwon,0,4,0,0,0,1,1,2,1,5
91884,295760825,helloijiwon,0,5,0,0,0,1,1,2,1,5
91885,295761331,helloijiwon,0,6,1,0,0,0,1,2,1,5
91886,295762182,helloijiwon,0,7,0,0,0,0,1,2,1,4
91887,295762541,helloijiwon,0,8,0,0,0,0,1,0,0,1
91888,295767838,helloijiwon,0,9,0,0,0,0,1,2,0,3
91889,295769021,helloijiwon,0,10,1,0,0,0,2,0,0,3
91890,295770304,helloijiwon,0,11,0,0,0,1,2,2,1,6
91891,295771891,helloijiwon,0,12,0,0,0,0,2,2,1,5
91892,295773891,helloijiwon,0,13,1,0,0,1,2,0,1,5
91893,295778403,helloijiwon,0,14,1,0,0,0,1,2,1,5
91894,297897957,helloijiwon,0,15,0,0,0,0,2,2,0,4
91895,297899140,helloijiwon,0,16,1,2,0,1,2,2,1,9
91896,297900008,helloijiwon,0,17,1,0,0,1,2,2,1,7
91897,297902037,helloijiwon,0,18,1,0,0,0,1,2,1,5
91898,297909374,helloijiwon,0,19,1,0,0,0,2,2,1,6
91899,297910667,helloijiwon,0,20,1,0,0,1,1,2,1,6
