,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
92440,277421984,hsutp,1,1,1,1,0,2,2,1,1,8
92441,277424887,hsutp,1,2,3,1,1,2,2,2,1,12
92442,277428224,hsutp,1,3,1,2,0,2,2,2,2,11
92443,277454740,hsutp,1,4,1,1,1,0,2,2,2,9
92444,277583584,hsutp,1,5,3,1,2,1,3,2,2,14
92445,277606637,hsutp,0,6,1,2,1,1,2,2,1,10
92446,278131855,hsutp,1,7,1,1,1,1,2,2,1,9
92447,278743738,hsutp,0,8,1,1,0,1,2,2,1,8
92448,279933402,hsutp,0,9,0,0,2,0,3,2,3,10
92449,281824793,hsutp,0,10,3,3,1,3,3,2,2,17
92450,289013548,hsutp,1,11,1,1,1,1,2,2,1,9
92451,289015020,hsutp,1,12,1,1,1,0,2,2,2,9
92452,289016996,hsutp,1,13,1,1,1,0,2,2,2,9
92453,289018423,hsutp,0,14,1,2,0,0,2,2,1,8
92454,289020868,hsutp,1,15,1,2,0,2,2,2,2,11
92455,296628882,hsutp,0,16,1,1,3,3,2,2,2,14
92456,299939712,hsutp,0,17,1,1,3,3,3,2,2,15
92457,312847035,hsutp,1,18,3,1,3,2,3,2,2,16
92458,313003550,hsutp,1,19,1,3,2,3,3,2,1,15
92459,314431024,hsutp,1,20,1,1,3,2,2,2,2,13
