,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
92600,282680752,huntert123,0,1,1,1,1,2,2,1,1,9
92601,285113422,huntert123,0,2,0,0,0,1,2,2,1,6
92602,286240368,huntert123,0,3,1,2,0,1,1,2,1,8
92603,287163125,huntert123,0,4,1,1,0,1,2,1,1,7
92604,288711679,huntert123,0,5,1,1,0,1,2,1,1,7
92605,289550293,huntert123,0,6,1,1,0,1,2,1,1,7
92606,290218285,huntert123,0,7,1,1,0,1,2,1,1,7
92607,291689225,huntert123,0,8,2,0,0,2,2,1,1,8
92608,292028809,huntert123,1,9,1,0,0,2,2,1,1,7
92609,292369217,huntert123,0,10,1,0,0,2,1,1,1,6
92610,293609553,huntert123,0,11,0,0,0,0,0,0,0,0
92611,293615180,huntert123,1,12,1,1,0,1,2,1,1,7
92612,293939663,huntert123,1,13,1,1,0,2,2,1,1,8
92613,294828512,huntert123,1,14,1,3,1,2,2,2,2,13
92614,300921094,huntert123,0,15,1,1,0,2,2,2,1,9
92615,301903228,huntert123,0,16,1,3,0,2,2,1,1,10
92616,302932317,huntert123,0,17,1,0,1,0,2,2,1,7
92617,304670162,huntert123,0,18,1,3,2,3,2,2,2,15
92618,309833443,huntert123,1,19,3,3,1,2,2,2,2,15
92619,312662883,huntert123,0,20,1,1,0,2,1,1,1,7
