,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
94120,294167284,jackrules5225,1,1,3,3,3,2,3,2,2,18
94121,297868003,jackrules5225,1,2,1,3,0,2,1,2,1,10
94122,298233690,jackrules5225,1,3,1,3,2,2,2,2,1,13
94123,300796572,jackrules5225,0,4,1,1,0,1,2,3,1,9
94124,301080721,jackrules5225,1,5,3,3,0,2,2,1,1,12
94125,301462081,jackrules5225,1,6,1,3,0,2,2,1,1,10
94126,301467965,jackrules5225,1,7,1,3,2,2,2,2,1,13
94127,301795785,jackrules5225,1,8,2,1,0,1,2,2,1,9
94128,302456291,jackrules5225,1,9,1,2,0,2,1,2,1,9
94129,305094955,jackrules5225,1,10,1,3,0,2,2,2,1,11
94130,306956194,jackrules5225,1,11,1,1,0,1,2,1,1,7
94131,308051859,jackrules5225,0,12,1,1,0,0,1,2,2,7
94132,310046655,jackrules5225,1,13,3,3,3,2,3,2,2,18
94133,310391055,jackrules5225,1,14,3,3,3,3,3,2,2,19
94134,310416874,jackrules5225,1,15,3,3,3,2,3,2,2,18
94135,311096385,jackrules5225,1,16,3,3,3,3,3,2,2,19
94136,311775361,jackrules5225,1,17,1,3,2,2,2,2,1,13
94137,312098047,jackrules5225,1,18,1,0,0,0,2,2,1,6
94138,312107378,jackrules5225,1,19,3,3,3,3,3,2,2,19
94139,312110487,jackrules5225,1,20,1,3,0,2,2,1,1,10
