,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
94520,278504901,janhan2018,0,1,0,0,0,1,1,1,1,4
94521,280398613,janhan2018,0,2,1,1,0,0,1,1,1,5
94522,281881556,janhan2018,0,3,1,1,0,1,2,1,1,7
94523,281886396,janhan2018,0,4,1,1,0,3,2,2,2,11
94524,285096106,janhan2018,0,5,1,0,0,0,2,2,1,6
94525,288396925,janhan2018,0,6,0,0,0,0,1,2,1,4
94526,288398441,janhan2018,0,7,0,0,0,0,2,1,1,4
94527,288400417,janhan2018,0,8,1,0,0,0,1,2,1,5
94528,288401493,janhan2018,0,9,0,0,0,0,1,2,0,3
94529,288402520,janhan2018,0,10,0,0,0,0,1,1,1,3
94530,288403283,janhan2018,0,11,0,0,0,0,2,1,1,4
94531,288403620,janhan2018,0,12,0,0,0,1,2,1,1,5
94532,288404182,janhan2018,0,13,0,0,0,1,2,1,1,5
94533,288405059,janhan2018,0,14,1,0,0,0,1,2,1,5
94534,288405953,janhan2018,0,15,0,0,0,0,2,1,1,4
94535,290604296,janhan2018,0,16,1,2,0,1,2,2,1,9
94536,290617342,janhan2018,0,17,0,0,0,0,1,1,1,3
94537,290619125,janhan2018,0,18,1,1,0,0,2,1,1,6
94538,290620365,janhan2018,0,19,1,2,0,0,1,2,1,7
94539,290625036,janhan2018,0,20,0,0,0,0,1,2,0,3
