,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
94780,280527302,jcook4231,0,1,1,1,0,0,1,2,1,6
94781,280734314,jcook4231,0,2,0,0,1,2,2,1,1,7
94782,280821159,jcook4231,0,3,2,1,1,0,2,2,1,9
94783,280826816,jcook4231,1,4,1,2,0,0,1,2,0,6
94784,280826905,jcook4231,0,5,0,0,0,0,1,2,0,3
94785,281450013,jcook4231,0,6,1,3,0,0,1,3,0,8
94786,281460450,jcook4231,1,7,3,3,3,3,3,2,3,20
94787,281462650,jcook4231,1,8,3,3,3,3,3,2,3,20
94788,281503290,jcook4231,1,9,3,3,3,3,3,2,3,20
94789,282039926,jcook4231,0,10,0,0,0,0,1,3,1,5
94790,282045796,jcook4231,0,11,1,1,0,2,3,2,1,10
94791,282477987,jcook4231,0,12,1,0,0,0,2,2,1,6
94792,282567978,jcook4231,0,13,1,1,1,0,2,2,1,8
94793,284704344,jcook4231,1,14,3,3,3,3,3,2,3,20
94794,285829403,jcook4231,1,15,2,1,2,2,2,2,2,13
94795,285830267,jcook4231,0,16,0,0,0,0,0,0,0,0
94796,287260453,jcook4231,1,17,1,3,3,3,3,2,2,17
94797,288581656,jcook4231,0,18,0,0,0,0,1,1,1,3
94798,296140730,jcook4231,0,19,1,0,1,0,3,2,2,9
94799,303220548,jcook4231,0,20,1,1,0,0,2,1,1,6
