,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
95400,285173386,jl541,0,1,1,0,0,0,1,2,1,5
95401,285994301,jl541,0,2,1,0,0,0,2,2,1,6
95402,286640194,jl541,0,3,1,2,0,2,3,2,2,12
95403,287218000,jl541,0,4,0,0,2,1,2,2,2,9
95404,288201731,jl541,1,5,1,2,3,2,2,2,1,13
95405,288753358,jl541,1,6,1,1,1,2,2,1,2,10
95406,288779484,jl541,1,7,1,1,0,1,2,1,1,7
95407,288779707,jl541,1,8,0,0,0,0,1,1,1,3
95408,291094751,jl541,1,9,0,0,0,0,2,1,0,3
95409,291095972,jl541,1,10,0,0,0,0,2,2,1,5
95410,291096171,jl541,1,11,0,0,0,0,2,2,1,5
95411,291099620,jl541,0,12,2,2,2,3,2,2,3,16
95412,292416508,jl541,1,13,3,1,3,2,3,2,2,16
95413,293317935,jl541,0,14,2,3,2,2,3,2,2,16
95414,294006764,jl541,1,15,3,1,2,3,3,2,3,17
95415,294891347,jl541,1,16,3,3,3,3,3,2,2,19
95416,296429214,jl541,1,17,1,0,0,1,2,2,1,7
95417,296431365,jl541,1,18,1,1,1,3,3,1,1,11
95418,296433606,jl541,1,19,0,0,0,0,2,1,1,4
95419,296435247,jl541,1,20,1,0,0,1,3,1,1,7
