,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
95740,294888141,johnwtyl00044,0,1,1,2,0,1,2,2,1,9
95741,294898983,johnwtyl00044,0,2,1,1,0,0,2,1,1,6
95742,295227225,johnwtyl00044,0,3,0,0,0,1,2,2,1,6
95743,295578607,johnwtyl00044,1,4,1,1,0,1,2,1,1,7
95744,295580682,johnwtyl00044,1,5,1,0,0,3,3,1,1,9
95745,295581447,johnwtyl00044,1,6,0,0,0,1,1,2,1,5
95746,295583191,johnwtyl00044,1,7,0,0,0,0,2,2,1,5
95747,295585053,johnwtyl00044,1,8,0,0,0,1,2,1,0,4
95748,295586579,johnwtyl00044,0,9,1,2,0,1,2,2,1,9
95749,298946427,johnwtyl00044,1,10,1,0,0,1,2,2,1,7
95750,298946819,johnwtyl00044,1,11,1,1,1,3,3,1,1,11
95751,298947263,johnwtyl00044,1,12,0,0,0,0,2,1,1,4
95752,298949454,johnwtyl00044,1,13,0,0,0,1,3,1,1,6
95753,298950337,johnwtyl00044,1,14,1,0,0,0,1,2,1,5
95754,298950958,johnwtyl00044,0,15,1,2,0,1,2,2,0,8
95755,298959514,johnwtyl00044,0,16,1,1,0,1,2,1,1,7
95756,299287882,johnwtyl00044,0,17,1,1,1,1,2,1,1,8
95757,299294952,johnwtyl00044,0,18,0,0,0,1,1,2,1,5
95758,299784327,johnwtyl00044,1,19,2,1,0,1,1,1,0,6
95759,299786799,johnwtyl00044,1,20,2,0,0,0,2,2,2,8
