,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
96960,287168682,kajko18,0,1,1,1,1,2,2,2,2,11
96961,288808708,kajko18,0,2,1,1,0,1,2,1,1,7
96962,288847477,kajko18,0,3,1,1,0,1,2,1,1,7
96963,288930211,kajko18,0,4,1,2,0,1,1,2,1,8
96964,288945949,kajko18,0,5,1,1,0,0,2,2,2,8
96965,288947318,kajko18,0,6,1,3,1,3,2,2,2,14
96966,288947770,kajko18,0,7,0,0,0,0,2,1,1,4
96967,288948716,kajko18,0,8,1,1,0,3,1,1,1,8
96968,289052329,kajko18,0,9,1,1,0,1,1,1,1,6
96969,308559121,kajko18,0,10,1,1,1,1,2,2,2,10
96970,312655214,kajko18,0,11,1,1,1,2,2,2,2,11
96971,330161300,kajko18,1,12,3,3,3,3,3,2,3,20
96972,330162263,kajko18,1,13,3,3,3,3,3,2,3,20
96973,330828081,kajko18,0,14,1,0,0,1,2,1,1,6
96974,337119895,kajko18,0,15,0,0,0,0,0,0,0,0
96975,337931814,kajko18,0,16,0,0,2,0,1,2,0,5
96976,337985908,kajko18,0,17,1,1,2,2,1,2,2,11
96977,339578136,kajko18,0,18,1,1,1,0,2,2,2,9
96978,339620501,kajko18,0,19,1,1,0,1,1,1,1,6
96979,339624847,kajko18,0,20,0,0,0,0,0,1,0,1
